Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
You ever been hospitalized in the past?,T,1.0,-1.0,0.0,-1.0,-1.0,-1.0,129_38,,tobacco,routine,yq,,0.0,0.0,0.0,,,129_faith.csv,"Therapist: Mr. Smith, I want to ask you about your lifestyle. Have you consumed tobacco?
Patient: I used to but not now
Therapist: What did you consume and when did you start?
Patient: I was 16 years of age when I started smoking and I stop at 36 years of age. Okay after that, you know I started increasing weight and kept going up and last two years I feel I have ballooned.",So you've been smoking for about 20 years.,2,0,-1,0,-2,-1
"Any history of heart attack, stroke, diabetes?",T,1.0,1.0,1.0,-2.0,-1.0,-1.0,129_40,,tobacco,routine,yq,,0.778,0.441,0.7235,,,129_faith.csv,"Therapist: What did you consume and when did you start?
Patient: I was 16 years of age when I started smoking and I stop at 36 years of age. Okay after that, you know I started increasing weight and kept going up and last two years I feel I have ballooned.
Therapist: You ever been hospitalized in the past?
Patient: No",How about the last year?,2,2,0,-1,-2,2
Blood sugar?,T,1.0,1.0,1.0,1.0,1.0,1.0,129_42,,tobacco,routine,yq,,0.219,0.684,0.585,,,129_faith.csv,"Therapist: You ever been hospitalized in the past?
Patient: No
Therapist: Any history of heart attack, stroke, diabetes?
Patient: No",Any history of substance abuse?,2,2,2,-1,-2,2
It's a good thing to know.,T,2.0,1.0,0.0,-1.0,1.0,-1.0,129_44,,tobacco,routine,id,,0.6935,0.295,0.397,,,129_faith.csv,"Therapist: Any history of heart attack, stroke, diabetes?
Patient: No
Therapist: Blood sugar?
Patient: No","Any history of heart attack, stroke, diabetes?",2,1,0,-1,1,2
It should be part of the physical. When was  your last physical?,T,1.0,0.0,0.0,-1.0,1.0,-1.0,129_46,,tobacco,routine,irq,,0.6665,0.259,0.457,,,129_faith.csv,"Therapist: Blood sugar?
Patient: No
Therapist: It's a good thing to know.
Patient: I don't have that. would be special to check. Are you trying to waste American healthcare dollars?","No, I'm not trying to waste the system. I'm just trying to make sure that you're taking care of yourself.",2,-1,2,2,1,2
Five years so you're due for a physical and we'll schedule that too. Yep. Make a note. That time could check your blood work as well. Do you have any trouble going to the bathroom?,T,1.0,1.0,0.0,2.0,-2.0,2.0,129_48,,tobacco,routine,irq,,0.561230769230769,0.467615384615384,0.535923076923077,,,129_faith.csv,"Therapist: It's a good thing to know.
Patient: I don't have that. would be special to check. Are you trying to waste American healthcare dollars?
Therapist: It should be part of the physical. When was  your last physical?
Patient: Five years ago.",So you've been having some symptoms for a while.,2,1,0,-1,1,-1
How frequently?,T,1.0,1.0,1.0,1.0,1.0,1.0,129_50,,tobacco,routine,crq,,0.0,0.0,0.0,,,129_faith.csv,"Therapist: It should be part of the physical. When was  your last physical?
Patient: Five years ago.
Therapist: Five years so you're due for a physical and we'll schedule that too. Yep. Make a note. That time could check your blood work as well. Do you have any trouble going to the bathroom?
Patient: Just in nighttime. I go a lot.",So you have trouble going to the bathroom in the morning.,2,1,0,-1,-2,-1
Have you travelled recently?,T,0.0,-1.0,0.0,2.0,-1.0,-1.0,129_52,,tobacco,routine,irq,,0.757,0.389,0.593,,,129_faith.csv,"Therapist: Five years so you're due for a physical and we'll schedule that too. Yep. Make a note. That time could check your blood work as well. Do you have any trouble going to the bathroom?
Patient: Just in nighttime. I go a lot.
Therapist: How frequently?
Patient: five or six times",five or six times a week.,2,2,0,-1,-2,-1
What do you do?,T,1.0,1.0,1.0,1.0,1.0,1.0,129_54,,traveling,routine,irq,,0.67,0.548,0.536,,,129_faith.csv,"Therapist: How frequently?
Patient: five or six times
Therapist: Have you travelled recently?
Patient: I just travel all over the US. I deliver stuff",How many times have you traveled?,2,1,0,2,-2,2
How long are you away from home?,T,0.0,-1.0,1.0,-1.0,2.0,-1.0,129_56,,traveling,routine,irq,,0.541,0.353,0.543,,,129_faith.csv,"Therapist: Have you travelled recently?
Patient: I just travel all over the US. I deliver stuff
Therapist: What do you do?
Patient: I'm a truck driver. Okay.",So you're a truck driver.,2,2,2,2,1,2
personal questions here. They will be confidential. Are you sexually active?,T,1.0,1.0,0.0,-1.0,1.0,-1.0,129_58,,traveling,routine,irq,,0.706,0.319666666666666,0.585333333333333,,,129_faith.csv,"Therapist: What do you do?
Patient: I'm a truck driver. Okay.
Therapist: How long are you away from home?
Patient: About a week.",How many hours are you away from home?,2,2,0,-1,-2,2
"Okay. Can you talk to can you tell me about your partner? Just one, just one. other partners?",T,1.0,1.0,2.0,-1.0,-2.0,-1.0,129_60,,traveling,routine,irq,,0.636,0.3292,0.4436,,,129_faith.csv,"Therapist: How long are you away from home?
Patient: About a week.
Therapist: personal questions here. They will be confidential. Are you sexually active?
Patient: Yep.",How many sexual partners?,1,1,0,-1,-2,-1
Do you have kids?,T,0.0,1.0,0.0,-1.0,-2.0,-1.0,129_62,,about partner,routine,yq,,0.7135,0.4685,0.5645,,,129_faith.csv,"Therapist: personal questions here. They will be confidential. Are you sexually active?
Patient: Yep.
Therapist: Okay. Can you talk to can you tell me about your partner? Just one, just one. other partners?
Patient: my wife.",Okay.,2,2,2,2,1,2
Are you having more kids?,T,0.0,1.0,0.0,-1.0,-2.0,-1.0,129_64,,about partner,routine,yq,,0.0,0.0,0.0,,,129_faith.csv,"Therapist: Okay. Can you talk to can you tell me about your partner? Just one, just one. other partners?
Patient: my wife.
Therapist: Do you have kids?
Patient: Yes Doctor",How many?,1,1,0,1,0,2
"Remember, this is confidential. If you ever had any sexually transmitted infections, we'll have to look.",T,1.0,1.0,0.0,2.0,1.0,2.0,129_66,,about partner,routine,id,,0.757,0.389,0.593,,,129_faith.csv,"Therapist: Do you have kids?
Patient: Yes Doctor
Therapist: Are you having more kids?
Patient: No.",So you're not having any children.,2,-1,0,-1,-2,-1
"I would like to do it later snoring at night. That's you're gaining some weight in the past. That's very concerning to you. I'd like to see your neck. Make sure there's no large that sort of thing. I'd like to listen to your heart. Take the breath in and deep. Please, open your mouth and stick your tongue. All right, Mr. Smith, my main concerns here for scoring are that you've increased your weight at a pace that's a little faster than What normally happens and with it waves, intended notice that because we sleep at night, the extra weights they put on, can actually help and can push your tongue backwards and sort of covering one pipe and then it creates snoring that you've been having. So, if you could imagine you're laying down like this. Okay? And here's your nose and this is where the airflow comes in, to windpipe, okay, here's your mouth, and your tongue just sits like that. Now, sometimes what can happen is that the time So down here in this area that can actually stop the airflow here. So what happens during this reaction to try and get oxygen in? Okay? For this, I would like to run a couple tests to do bottom of it. I will be advising you to go for a sleep study. And I can measure how well you're sleeping and delineates what's happening, what's causing the snoring. Your heart sounds sound good. And because I think it's, it's possible that you may have to also have a heart condition that's related to it. I would like to get an ECG.",T,1.0,1.0,2.0,0.0,-1.0,0.0,129_68,,about partner,story,id,,0.621756097560975,0.413670731707317,0.50460975609756,,,129_faith.csv,"Therapist: Are you having more kids?
Patient: No.
Therapist: Remember, this is confidential. If you ever had any sexually transmitted infections, we'll have to look.
Patient: I'm feeling sleepy doctor. I know. Just so I have snoring in the daytime. so sleepy, you're too tired primes and Okay.",So you're sleeping a lot.,1,1,0,-1,1,2
"I think they are related Oh, and then regarding the increase in weight, I can advise you to eat a low fat low cholesterol diet. I'd like you to increase your exercise to five times a week for about 30 minutes and I would like to order some bloodwork because you haven't had your physical in a while no include your blood sugar, your cholesterol, and electrolytes and such. Okay. Do you have any other questions for me?",T,1.0,1.0,2.0,0.0,-1.0,0.0,129_70,,about partner,routine,yq,,0.591359999999999,0.418759999999999,0.49996,,,129_faith.csv,"Therapist: Remember, this is confidential. If you ever had any sexually transmitted infections, we'll have to look.
Patient: I'm feeling sleepy doctor. I know. Just so I have snoring in the daytime. so sleepy, you're too tired primes and Okay.
Therapist: I would like to do it later snoring at night. That's you're gaining some weight in the past. That's very concerning to you. I'd like to see your neck. Make sure there's no large that sort of thing. I'd like to listen to your heart. Take the breath in and deep. Please, open your mouth and stick your tongue. All right, Mr. Smith, my main concerns here for scoring are that you've increased your weight at a pace that's a little faster than What normally happens and with it waves, intended notice that because we sleep at night, the extra weights they put on, can actually help and can push your tongue backwards and sort of covering one pipe and then it creates snoring that you've been having. So, if you could imagine you're laying down like this. Okay? And here's your nose and this is where the airflow comes in, to windpipe, okay, here's your mouth, and your tongue just sits like that. Now, sometimes what can happen is that the time So down here in this area that can actually stop the airflow here. So what happens during this reaction to try and get oxygen in? Okay? For this, I would like to run a couple tests to do bottom of it. I will be advising you to go for a sleep study. And I can measure how well you're sleeping and delineates what's happening, what's causing the snoring. Your heart sounds sound good. And because I think it's, it's possible that you may have to also have a heart condition that's related to it. I would like to get an ECG.
Patient: Why do you get heart condition? Why do you get heart condition and snoring and sleep apnea?","Well, I think it's because of the weight. I think that you've gained a bit too much. And I think that's causing your heart to work a bit harder. And that's causing you to have the heart failure.",1,-1,2,-1,1,2
"Is snoring awful tired, trouble sleeping at night risk factors are decreased oxygenation because of the breathing.",T,1.0,1.0,2.0,0.0,-1.0,0.0,129_72,,about partner,inactive,id,,0.326999999999999,0.5285,0.371,,,129_faith.csv,"Therapist: I would like to do it later snoring at night. That's you're gaining some weight in the past. That's very concerning to you. I'd like to see your neck. Make sure there's no large that sort of thing. I'd like to listen to your heart. Take the breath in and deep. Please, open your mouth and stick your tongue. All right, Mr. Smith, my main concerns here for scoring are that you've increased your weight at a pace that's a little faster than What normally happens and with it waves, intended notice that because we sleep at night, the extra weights they put on, can actually help and can push your tongue backwards and sort of covering one pipe and then it creates snoring that you've been having. So, if you could imagine you're laying down like this. Okay? And here's your nose and this is where the airflow comes in, to windpipe, okay, here's your mouth, and your tongue just sits like that. Now, sometimes what can happen is that the time So down here in this area that can actually stop the airflow here. So what happens during this reaction to try and get oxygen in? Okay? For this, I would like to run a couple tests to do bottom of it. I will be advising you to go for a sleep study. And I can measure how well you're sleeping and delineates what's happening, what's causing the snoring. Your heart sounds sound good. And because I think it's, it's possible that you may have to also have a heart condition that's related to it. I would like to get an ECG.
Patient: Why do you get heart condition? Why do you get heart condition and snoring and sleep apnea?
Therapist: I think they are related Oh, and then regarding the increase in weight, I can advise you to eat a low fat low cholesterol diet. I'd like you to increase your exercise to five times a week for about 30 minutes and I would like to order some bloodwork because you haven't had your physical in a while no include your blood sugar, your cholesterol, and electrolytes and such. Okay. Do you have any other questions for me?
Patient: Take medications that normally driving, snoring and driving go hand in hand mo with time. If you're snoring and you have sleep apnea, you are not. You do not advise properly patient slowly or caution you that you feel sleepy while driving car. Very, very important, right? You can have an accident, right? What are the symptoms of sleep apnea?",It's just a feeling of tiredness. It's a feeling of being sleepy. It's a feeling of being tired. It's a feeling of being lethargic. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It's a feeling of being tired. It,2,1,0,-1,-2,2
