Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE
"two to three hours, okay. And then how much time do you have when it's assigned to when it's due usually",T,1.0,2.0,2.0,-1.0,-2.0,2.0,17_67,,,,,,,,,,
Maybe a couple of weeks.,P,,,,,,,17_68,,,,,,,,,,
A couple weeks. Yeah.,T,1.0,2.0,2.0,-1.0,-2.0,2.0,17_69,,,,,,,,,,
"I get distracted. So a little distracted. So it's, you know, I start reading and I'll fall asleep or I get distracted by something. And then before you know it, the time is gone. And I'm rushing at the end to get it shown up to try and get it all done.",P,,,,,,,17_70,,,,,,,,,,
"So I was ready to do the work to ease into the last Okay, yeah, I could see how that would be stressful. what day of the week isn't usually a Sunday.",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_71,,,,,,,,,,
On Tuesdays on Tuesdays.,P,,,,,,,17_72,,,,,,,,,,
"So you have Tuesday, and then you have another Tuesday and the week after that, you have three hours of work. And those two weeks.",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_73,,,,,,,,,,
shipping. Okay?,P,,,,,,,17_74,,,,,,,,,,
"Yeah, will be the first day and time but kind of like when you specified Wednesday 630 that's gonna be a walking time, right right at the time, and you can start the homework because the first time",T,2.0,1.0,0.0,2.0,-2.0,-1.0,17_75,,,,,,,,,,
I'm come back from my walk on Wednesdays.,P,,,,,,,17_76,,,,,,,,,,
How long do you foresee,T,1.0,-1.0,1.0,-1.0,-2.0,2.0,17_77,,,,,,,,,,
"Well, normally only half an hour.",P,,,,,,,17_78,,,,,,,,,,
"So to get some time to decompress and round Alright, so from eight to nine on Tuesday, or Wednesday, on Wednesday, you'll get the first third of the homework. And then and then just stop. Okay, that'd be that'd be done for the night. Okay. All right. That's some big plans. How about that second hour?",T,0.0,2.0,0.0,2.0,-2.0,0.0,17_79,,,,,,,,,,
I'll get started.,P,,,,,,,17_80,,,,,,,,,,
"Thursday, so it's just one day apart.",T,2.0,2.0,0.0,2.0,-2.0,-2.0,17_81,,,,,,,,,,
"Yeah, that's due Thursday.",P,,,,,,,17_82,,,,,,,,,,
"Oh, do come Thursday. Yeah. an hour. Yes. And what hour do you have in mind?",T,2.0,2.0,1.0,2.0,-2.0,-2.0,17_83,,,,,,,,,,
Thursday's,P,,,,,,,17_84,,,,,,,,,,
"So but 7070 so one night, Wednesday be at nine o'clock. And then on Thursday, seven nine was two hours. Seven days. Sorry. Okay. So now just the last hour remains",T,0.0,-1.0,1.0,2.0,-2.0,-2.0,17_85,,,,,,,,,,
"Sunday, Sunday",P,,,,,,,17_86,,,,,,,,,,
"through Sunday. Okay. So you you want to get everything done from Tuesday to Sunday night? Yeah, the rest of that time off. Yeah. Okay. Okay. Sure that's achievable. That seems like you're, you're getting a lot in there, but you think you can do it?",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_87,,,,,,,,,,
"I can try. Okay. Yeah,",P,,,,,,,17_88,,,,,,,,,,
"that sounds good. All right. What time Sunday,",T,2.0,2.0,1.0,2.0,-2.0,-2.0,17_89,,,,,,,,,,
Sunday around five,P,,,,,,,17_90,,,,,,,,,,
"to five to six, five to six.",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_91,,,,,,,,,,
Yes.,P,,,,,,,17_92,,,,,,,,,,
"And I'm assuming it won't run over because we kind of have to be on the high side, but if it did, I would be able to go five to seven So that's kind of like, yeah, flexible time there. Yes. So what would that feel like to get your homework done?",T,2.0,-1.0,0.0,-2.0,-2.0,-1.0,17_93,,,,,,,,,,
But it would be a relief.,P,,,,,,,17_94,,,,,,,,,,
"Okay. So, and there's a potential backup plan I see in here is that if something happens on Sunday, where you need more time, and you don't want to stress, you still have that Wednesday after you walk back home. Yeah. So that could be like your, your backup. Yes, that makes sense. Yes. Because you still have another six days to have done after that. Right. All right. So all those seem realistic and achievable.",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_95,,,,,,,,,,
It does.,P,,,,,,,17_96,,,,,,,,,,
Every so many Fridays.,T,0.0,-1.0,1.0,2.0,-2.0,2.0,17_97,,,,,,,,,,
every friday,P,,,,,,,17_98,,,,,,,,,,
"So, so this is this isn't every Friday commitment. Right, this thing?",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_99,,,,,,,,,,
Yeah. But one Friday is generally it's maybe,P,,,,,,,17_100,,,,,,,,,,
"about two hours, two hours. So two hours every Friday. There's something really enjoyed though. So and it sounds like you look forward to it. Yeah. So Friday, two hours, I guess. Yes. afternoon or evening. Evening. Okay.",T,0.0,-1.0,0.0,2.0,-2.0,-1.0,17_101,,,,,,,,,,
"Yeah, I mean, if I if it was something that came up that I really had to get done is not like I can't not go. So it won't be managed, right?",P,,,,,,,17_102,,,,,,,,,,
"Yeah. Good. Okay. So that was the last objective this is. This is I guess about a whole day commitment, right? Because you go to the beach, it's an hour drive, so you probably wouldn't want to go down for just a few hours. More like the whole day, would they?",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_103,,,,,,,,,,
"That would be more like a Saturday. But of course, it wouldn't be every Saturday.",P,,,,,,,17_104,,,,,,,,,,
"So how many times and say a month, like once? Once a month? Okay. So you go down on Saturday morning and come back?",T,0.0,-1.0,1.0,2.0,-2.0,-2.0,17_105,,,,,,,,,,
Yes.,P,,,,,,,17_106,,,,,,,,,,
"That's something to look forward to. Yes. Is that something that would be okay, in terms of like, because on Friday night, potentially, you'd be out. Right and then Saturday.",T,0.0,-1.0,1.0,2.0,-2.0,-2.0,17_107,,,,,,,,,,
"Yeah, if I, if all those Saturdays that I know that I'm going I could not be out too late on that.",P,,,,,,,17_108,,,,,,,,,,
"Okay, that's a good idea. So you kind of make sure you restrict how long you stay out? Yes. When you know that Saturday is coming",T,0.0,-1.0,0.0,2.0,-2.0,-2.0,17_109,,,,,,,,,,
"or not go at all, that's fine. Either way,",P,,,,,,,17_110,,,,,,,,,,
"just take a break that time. Yes. Restore. All right. So that's four separate objectives. And what I want to do since I've kind of made a lot of specific notations here, I want to take a moment just take a break, and print this up for you. Okay, we'll work on the rest of your goals next time but I want you to have this so you can get started on it right away. So before I print these up as a changes you want to make",T,2.0,-1.0,0.0,-1.0,-2.0,2.0,17_111,,,,,,,,,,
"um, I would like to try that",P,,,,,,,17_112,,,,,,,,,,
"And if it doesn't work, can we tweak? Oh yeah, we can always make changes. Maybe certain things will work really well. It Certain things, we'll have to take off the list altogether, maybe substitute something else. Yeah, we can, we can make edits to it the whole time you're here. Okay, we can just make a document that changes as as needed. But if you think it's a good starting place, I'll go and print this up as it is, and give you a copy and we can resume with today's session. And then next time I see in a week, or call the rest of the treatment plan. Beside the plan, yes. Thanks, Allison. ",T,2.0,2.0,2.0,-1.0,-2.0,2.0,17_113,,,,,,,,,,
Thank you.,P,,,,,,,17_114,,,,,,,,,,
"Jason, how you doing, sir? ",T,2.0,2.0,-2.0,-2.0,-2.0,2.0,92_1,,,,,,,,,,
Okay.,P,,,,,,,92_2,,,,,,,,,,
You all right?,T,2.0,2.0,2.0,1.0,2.0,1.0,92_3,,,,,,,,,,
I'm just here.,P,,,,,,,92_4,,,,,,,,,,
"You're just here, just here. I understand that you're in the hospital a couple weeks ago.",T,2.0,2.0,0.0,2.0,1.0,-1.0,92_5,,,,,,,,,,
"Yeah, I was in the hospital about two weeks ago did something and I had to go to the hospital afterwards.",P,,,,,,,92_6,,,,,,,,,,
What happened?,T,1.0,1.0,1.0,2.0,1.0,2.0,92_7,,,,,,,,,,
"yeah, so about two weeks ago, I was finishing up this wonderful machine that I was creating in my room, so that the government can't hear my thoughts or my, my actions or my behaviors. And I was just trying to finish up my last little bit that I needed to build and I went over to the neighbor, because their garage was open and just picked out a tool and brought it back to the house. And when I was in the house working on my my room, the cops came and picked me up and took me to the hospital. So it's like, see the government data to get",P,,,,,,,92_8,,,,,,,,,,
what you think the government is trying to do.,T,2.0,-1.0,0.0,2.0,1.0,2.0,92_9,,,,,,,,,,
"They're trying to stop me from actually creating my room. Because they're, they're creating this new order where they want everybody to follow them. And I'm not a follower. And I know what I want. And I know what I need. And I know what my family wants, and I know what they need. And I'm just trying to protect them by creating my room.",P,,,,,,,92_10,,,,,,,,,,
And tell me about your room. What what are you doing there that makes that special.,T,0.0,-1.0,1.0,2.0,1.0,2.0,92_11,,,,,,,,,,
So I was smart enough to know that there are frequencies and waves that are out there that the government is actually sending you through the lights and also through the TV and like through every electronic apparatus that is out there. And I'm actually creating doll or a wave neutralizer so that it can actually stop that from happening. So that you can actually live the life that you want and be happy and youthful and joyful all the time.,P,,,,,,,92_12,,,,,,,,,,
Is that how you were feeling when you were building?,T,0.0,-1.0,1.0,-1.0,1.0,0.0,92_13,,,,,,,,,,
"Yeah, because I created this prototype in my room. And anytime I'm basically in there I was, it was good. I had energy. I didn't have everything that I wanted. But my prototype was running out of fuel. And so I needed to make it bigger, larger, so it can run longer.",P,,,,,,,92_14,,,,,,,,,,
That's what you're trying to do,T,0.0,-1.0,1.0,-1.0,1.0,0.0,92_15,,,,,,,,,,
"Yeah, that's what I was trying to do when I wouldn't borrowed the tools from my neighbor but yeah, and then also I was ordering some things that were online. And they were also supposed to become be shipped in so that the base piece that I was creating, that I use the tools for my neighbor's house. It could have been all perfect and set so that when All of the hard drives in the electrical wiring and all of that stuff came in, I could just plug it in. And then not only my room covered, but also my houses covered and all of my family, they could just be happy.",P,,,,,,,92_16,,,,,,,,,,
"They could be happy, they could be happy, like, you know, you were happy.",T,0.0,-1.0,1.0,-1.0,1.0,0.0,92_17,,,,,,,,,,
"I was happy, like, so two weeks ago, I was I was good. I, I was up, I did all the calculations that I need to create. So I can actually build my base in my system. But then I also did the calculations about the different types of waves being in the house, but then also out of the house, that I also had the opportunity to just not sleep because I need sleep. I wasn't tired. And if I did sleep, I slept for like 15 minutes, just because I needed to finish what I was going to do. And I was so close to finishing and my neighbour called cops.",P,,,,,,,92_18,,,,,,,,,,
So you had a period of time when you had like a lot of energy and you weren't really sleeping much,T,1.0,1.0,0.0,-1.0,1.0,0.0,92_19,,,,,,,,,,
Doesn't everybody do that?,P,,,,,,,92_20,,,,,,,,,,
You're also happy and felt energetic,T,1.0,2.0,1.0,-1.0,1.0,-1.0,92_21,,,,,,,,,,
I felt good. Like when I when I sleep I don't like when I sleep because it just feels wrong.,P,,,,,,,92_22,,,,,,,,,,
And how do you feel now in comparison?,T,1.0,-2.0,0.0,-1.0,-2.0,0.0,92_23,,,,,,,,,,
"I'm alright guy. All right. Just All right, right now. The government maybe get on different medication. So just all right.",P,,,,,,,92_24,,,,,,,,,,
So not happy or sad.,T,2.0,-1.0,0.0,-1.0,1.0,-1.0,92_25,,,,,,,,,,
not sad either. It's just you In the middle,P,,,,,,,92_26,,,,,,,,,,
Do you want to get back to that happiness,T,1.0,1.0,1.0,-1.0,1.0,-1.0,92_27,,,,,,,,,,
of course who doesn't want to get back to the happiness of their life. That's the reason why you need to finish machine,P,,,,,,,92_28,,,,,,,,,,
Yeah. You mentioned you ordered some products online. How much did you order?,T,1.0,-2.0,1.0,1.0,2.0,1.0,92_29,,,,,,,,,,
"um, I think I ordered probably know the exact number I ordered 236 hard drives, because 236 is the perfect number that I needed to not only cover my bedroom, so I can always be happy and if the system went down, my room was always going to be covered. But then within that 236 it also covered my house so that my family could be happy, and like my four neighbors around us so we can all be happy. And that's the reason why I'm kind of angry at my one neighbor because I was including his house in all By my grid so that he can also be happy all the time.",P,,,,,,,92_30,,,,,,,,,,
He would have been affected by a machine.,T,0.0,-1.0,1.0,-1.0,2.0,0.0,92_31,,,,,,,,,,
"Of course, he's the helping hand. He helped me out. He let me borrow his tools. but evidently he didn't let me borrow him this time. So just pull him out. Have another neighbor take his place.",P,,,,,,,92_32,,,,,,,,,,
