Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction
And you've been waking up earlier than you want.,T,2.0,-1.0,0.0,-1.0,-2.0,0.0,45_24,,gloomy mood,symp/reasoning,yq,,0.562,0.352,0.339,,,45.csv,"Therapist: you mentioned the word gloomy.
Patient: Yeah.
Therapist: And the low energies been a problem for that long as well.
Patient: Yeah.",So you're feeling down. You're feeling sad. You're feeling depressed.
How about you? Do you mentioned the depressed mood? You feel down? Is that worse than a particular time of the day?,T,1.0,1.0,0.0,-1.0,-2.0,0.0,45_26,,gloomy mood,routine,irq,,0.454,0.498166666666666,0.442333333333333,,,45.csv,"Therapist: And the low energies been a problem for that long as well.
Patient: Yeah.
Therapist: And you've been waking up earlier than you want.
Patient: Yeah.",So you're waking up earlier than you want to wake up.
It was the morning mornings the worst.,T,1.0,1.0,0.0,-1.0,1.0,0.0,45_28,,gloomy mood,routine,yq,,0.688,0.235,0.444,,,45.csv,"Therapist: And you've been waking up earlier than you want.
Patient: Yeah.
Therapist: How about you? Do you mentioned the depressed mood? You feel down? Is that worse than a particular time of the day?
Patient: Yeah, I mean, it's worse than that in the morning. Especially when I'm just like sitting there with my thoughts. When I can't get back to sleep. It will be That and then you know we time to get ready for the day and I'll be angry and mad that it's, you know the I can't sleep and then depressed about you know that I'm like this and I'm weird and then I mean as the day goes on I forget about it a little bit and it gets a little bit better in the afternoons and nighttime I really like you know, I enjoy spending time with my family for dinner and stuff like that. So it gets better as the day goes on. But, you know, in the morning it's it's bad because I just spent hours lying there thinking about it.",So you're having a hard time sleeping. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And then you're having a hard time concentrating. And
So I'm gonna ask you some other questions related to this. You mentioned depressed mood. And you mentioned how you reacted to the wedding. How it wasn't what you hoped. Have you lost in other things that might be fun or pleasurable.,T,2.0,2.0,2.0,-2.0,1.0,2.0,45_30,,gloomy mood,routine,irq,,0.5239,0.4095,0.3962,,,45.csv,"Therapist: How about you? Do you mentioned the depressed mood? You feel down? Is that worse than a particular time of the day?
Patient: Yeah, I mean, it's worse than that in the morning. Especially when I'm just like sitting there with my thoughts. When I can't get back to sleep. It will be That and then you know we time to get ready for the day and I'll be angry and mad that it's, you know the I can't sleep and then depressed about you know that I'm like this and I'm weird and then I mean as the day goes on I forget about it a little bit and it gets a little bit better in the afternoons and nighttime I really like you know, I enjoy spending time with my family for dinner and stuff like that. So it gets better as the day goes on. But, you know, in the morning it's it's bad because I just spent hours lying there thinking about it.
Therapist: It was the morning mornings the worst.
Patient: Yeah.",So you're saying that you're having a lot of thoughts about the depression.
as much Okay.,T,0.0,0.0,0.0,0.0,0.0,0.0,45_32,,general health,routine,gc,,0.0,0.0,0.0,,,45.csv,"Therapist: It was the morning mornings the worst.
Patient: Yeah.
Therapist: So I'm gonna ask you some other questions related to this. You mentioned depressed mood. And you mentioned how you reacted to the wedding. How it wasn't what you hoped. Have you lost in other things that might be fun or pleasurable.
Patient: I haven't really lost an interest in anything like I still, you know, I still seek out fun activities, and I still participate in them. And I mean, they'll make me feel better than not doing them. But it's just, I don't know, it's just I don't. I guess my response to them isn't as high as I see other people enjoying activities, and I don't, but I do enjoy them",so you're not enjoying them as much as you used to.
Any changes to your appetite or weight?,T,1.0,-1.0,0.0,-1.0,-2.0,-1.0,45_33,,general health,routine,irq,,0.704,0.637,0.581,,,45.csv,"Patient: Yeah.
Therapist: So I'm gonna ask you some other questions related to this. You mentioned depressed mood. And you mentioned how you reacted to the wedding. How it wasn't what you hoped. Have you lost in other things that might be fun or pleasurable.
Patient: I haven't really lost an interest in anything like I still, you know, I still seek out fun activities, and I still participate in them. And I mean, they'll make me feel better than not doing them. But it's just, I don't know, it's just I don't. I guess my response to them isn't as high as I see other people enjoying activities, and I don't, but I do enjoy them
Therapist: as much Okay.",So you're not enjoying activities as much as you used to.
How about feelings of restlessness or the opposite kind of being slowed down? I know that.,T,1.0,1.0,0.0,-1.0,-2.0,-1.0,45_35,,general health,routine,irq,,0.50025,0.485,0.53175,,,45.csv,"Patient: I haven't really lost an interest in anything like I still, you know, I still seek out fun activities, and I still participate in them. And I mean, they'll make me feel better than not doing them. But it's just, I don't know, it's just I don't. I guess my response to them isn't as high as I see other people enjoying activities, and I don't, but I do enjoy them
Therapist: as much Okay.
Therapist: Any changes to your appetite or weight?
Patient: No one stays the same.",So you're not feeling very motivated to do anything.
Ever feel a sense of worthlessness?,T,1.0,1.0,0.0,-1.0,-2.0,-1.0,45_37,,general health,routine,yq,,0.7915,0.5095,0.534999999999999,,,45.csv,"Therapist: Any changes to your appetite or weight?
Patient: No one stays the same.
Therapist: How about feelings of restlessness or the opposite kind of being slowed down? I know that.
Patient: No.",So you're not feeling restless.
like that. How about concentration? How's that been?,T,1.0,1.0,0.0,-2.0,-2.0,0.0,45_39,,general health,routine,irq,,0.719,0.353,0.446,,,45.csv,"Therapist: How about feelings of restlessness or the opposite kind of being slowed down? I know that.
Patient: No.
Therapist: Ever feel a sense of worthlessness?
Patient: No, ",no.
You do okay with that?,T,2.0,-1.0,2.0,-1.0,1.0,-1.0,45_41,,general health,routine,yq,,0.67,0.548,0.536,,,45.csv,"Therapist: Ever feel a sense of worthlessness?
Patient: No, 
Therapist: like that. How about concentration? How's that been?
Patient: Let's focus on what I need to focus on.",So you're able to focus on what you need to focus on.
Do you ever have thoughts of death or dying?,T,2.0,-1.0,0.0,2.0,1.0,-2.0,45_43,,general health,routine,yq,,0.55075,0.509749999999999,0.573,,,45.csv,"Therapist: like that. How about concentration? How's that been?
Patient: Let's focus on what I need to focus on.
Therapist: You do okay with that?
Patient: Yeah.",So you're able to focus on what you need to focus on.
Any drug or alcohol use or medical conditions.,T,1.0,-2.0,-1.0,-2.0,-1.0,-1.0,45_45,,general health,routine,yq,,0.3895,0.546999999999999,0.46375,,,45.csv,"Therapist: You do okay with that?
Patient: Yeah.
Therapist: Do you ever have thoughts of death or dying?
Patient: No.",Do you ever have thoughts of hurting yourself or harming others?
Have you ever seen or heard things other people cannot see or hear?,T,1.0,-1.0,0.0,-2.0,-2.0,0.0,45_47,,general health,routine,yq,,0.5974,0.3076,0.4064,,,45.csv,"Therapist: Do you ever have thoughts of death or dying?
Patient: No.
Therapist: Any drug or alcohol use or medical conditions.
Patient: No",Have you ever had any mental health conditions?
Have you ever had a time? You mentioned your mood is gloomy. Have you ever had a time when your mood was too happy? Like when you're excessively happy? A lot of energy?,T,1.0,1.0,0.0,-1.0,1.0,-1.0,45_49,,general health,routine,yq,,0.657125,0.439499999999999,0.540875,,,45.csv,"Therapist: Any drug or alcohol use or medical conditions.
Patient: No
Therapist: Have you ever seen or heard things other people cannot see or hear?
Patient: No",Have you ever had any thoughts of hurting yourself or others?
here been hospitalized before.,T,2.0,1.0,-2.0,-2.0,-2.0,-1.0,45_52,,gloomy mood,routine,yq,,0.0,0.0,0.0,,,45.csv,"Patient: No
Therapist: Have you ever had a time? You mentioned your mood is gloomy. Have you ever had a time when your mood was too happy? Like when you're excessively happy? A lot of energy?
Patient: Not really. I mean.
Patient: Yeah, like there's been times where I've like gone on vacation for like a week and I've noticed that I was happier than I had been, but nothing ever more than a couple of days or a week or so,",so you're not really experiencing a change in mood that's more than just a couple of days or a week.
Do you have feelings of hopelessness?,T,1.0,1.0,0.0,-1.0,-2.0,-2.0,45_54,,gloomy mood,routine,yq,,0.7135,0.4685,0.5645,,,45.csv,"Patient: Not really. I mean.
Patient: Yeah, like there's been times where I've like gone on vacation for like a week and I've noticed that I was happier than I had been, but nothing ever more than a couple of days or a week or so,
Therapist: here been hospitalized before.
Patient: No",So you've had some experiences where you've been hospitalized.
And how's your self esteem?,T,1.0,1.0,0.0,-2.0,-2.0,-1.0,45_56,,gloomy mood,routine,yq,,0.704,0.37,0.5,,,45.csv,"Therapist: here been hospitalized before.
Patient: No
Therapist: Do you have feelings of hopelessness?
Patient: No.",Do you have any thoughts of death?
Okay.,T,1.0,0.0,1.0,1.0,0.0,1.0,45_58,,gloomy mood,inactive,ack,,0.0,0.0,0.0,,,45.csv,"Therapist: Do you have feelings of hopelessness?
Patient: No.
Therapist: And how's your self esteem?
Patient: Okay.",So you're not feeling confident in your ability to do this.
pretty good.,T,2.0,2.0,2.0,2.0,0.0,2.0,45_60,,gloomy mood,inactive,ack,,0.875,0.516,0.561,,,45.csv,"Therapist: And how's your self esteem?
Patient: Okay.
Therapist: Okay.
Patient: Yeah, ",how's your self esteem?
"All right, Sherry.",T,2.0,2.0,0.0,2.0,-2.0,2.0,45_61,,gloomy mood,inactive,gt,,0.0,0.0,0.0,,,45.csv,"Patient: Okay.
Therapist: Okay.
Patient: Yeah, 
Therapist: pretty good.",So I want to talk about the anxiety. So you mentioned that you're having some anxiety about the upcoming presentation.
I'd like to get you in to see a counselor here at the agency. If I just take a couple days to to get you in with somebody is that okay?,T,2.0,2.0,2.0,2.0,-2.0,2.0,45_62,,gloomy mood,routine,yq,,0.763,0.473857142857142,0.536142857142857,,,45.csv,"Therapist: Okay.
Patient: Yeah, 
Therapist: pretty good.
Therapist: All right, Sherry.",So I want to talk about the anxiety. So you mentioned that you're having some anxiety about the upcoming presentation.
I appreciate you answering these questions. For me. This has been helpful.,T,2.0,2.0,2.0,-2.0,-2.0,2.0,45_64,,gloomy mood,inactive,gt,,0.7845,0.460999999999999,0.673999999999999,,,45.csv,"Therapist: pretty good.
Therapist: All right, Sherry.
Therapist: I'd like to get you in to see a counselor here at the agency. If I just take a couple days to to get you in with somebody is that okay?
Patient: Okay.",So I'll get you scheduled to see a counselor. And I'll get you in to see them as soon as possible.
