Utterance,Type,ID
It's your color. I know it's your color.,T,QpIV2Zqf8F0_15
"Well, black's not a color, though. It's a shade.",P,QpIV2Zqf8F0_16
"Oh, yeah, you would know, you're the artist. Okay, we got a pen for you and we have a... you can put all your pencils over there. You can put them right in here. And how about your school search? How's that been coming along?",T,QpIV2Zqf8F0_17
"Uh, I missed my deadlines. Like you can imagine, so I have to wait until next round.",P,QpIV2Zqf8F0_18
Did you put them on the calendar? The date?,T,QpIV2Zqf8F0_19
"I did. I put them on the calendar. I saw them and I'm like, okay, there you are.",P,QpIV2Zqf8F0_20
Good. Why'd you miss the deadline?,T,QpIV2Zqf8F0_21
"Why didn't I miss the deadline? Surfing? Well, yeah.",P,QpIV2Zqf8F0_22
"I know, I know. Remember we talked about that last week. It's a timer. That's cool. So we give you two hours a day. That's more than enough time for you to play Warcraft and whatever you do on the internet. How does that sound? It will help you, it'll help you focus. Just little bits at a time, one step at a time. That's why we have the lists, that's why we have the calendar, that's why we have the notebook. These are all helpful hints, they're tools in your toolbox. And things are looking rosy, looking better, more exciting, right?",T,QpIV2Zqf8F0_23
"I mean, yeah, I mean pragmatically, I think I've got some, you know, I've got some anchors to kind of work around, so to speak.",P,QpIV2Zqf8F0_24
"Absolutely. Great anchors. I'm so proud of you. You are getting there, but we are seeing changes. So maybe we should check on some of the veterinarian what you need for school.",T,QpIV2Zqf8F0_25
"All right, because I'm on that page, let me show you.",P,QpIV2Zqf8F0_26
"Okay, great.",T,QpIV2Zqf8F0_27
So I stopped for coffee because I wasn't sure if you had any coffee. How are you doing?,T,rmjBUBlFfU8_1
I'm sick of thinking about how I am.,P,rmjBUBlFfU8_2
I hear you. Now you remember that thing I was telling you about that I found online?,T,rmjBUBlFfU8_3
What thing?,P,rmjBUBlFfU8_4
"I was telling you about it, how it helps you break down your goals into smaller steps. I thought maybe we could try it.",T,rmjBUBlFfU8_5
We've tried all this kind of stuff before.,P,rmjBUBlFfU8_6
"I understand. You know, I've always loved this picture of you.",T,rmjBUBlFfU8_7
I haven't felt like this in a long time. That was like my old life. I don't even know who that person is anymore or how to be her.,P,rmjBUBlFfU8_8
"Well, what do you miss about your old life?",T,rmjBUBlFfU8_9
"Well, having friends and going out, but I just can't seem to get started, though.",P,rmjBUBlFfU8_10
How about we start at the beginning? How do you start your day?,T,rmjBUBlFfU8_11
"Well, I sleep late and I know I should clean up around here, but it's so intimidating, so I just do nothing like a loser.",P,rmjBUBlFfU8_12
It sounds like you're pretty hard on yourself. Maybe if you start feeling a little bit better you'd be more apt to want to go out and see your friends.,T,rmjBUBlFfU8_13
I guess.,P,rmjBUBlFfU8_14
I notice your alarm clock is broken.,T,rmjBUBlFfU8_15
"Oh, yeah. It needs batteries.",P,rmjBUBlFfU8_16
"Well, I got you this alarm clock that doesn't need batteries. What time would you like to get up?",T,rmjBUBlFfU8_17
I don't know.,P,rmjBUBlFfU8_18
"Well, why don't we start with 11 o'clock? You said you've been getting up in the afternoon. We could try 11 and then you can move it up in a couple of days.",T,rmjBUBlFfU8_19
"Okay, I guess.",P,rmjBUBlFfU8_20
"Well, I thought maybe a calendar would help. How about we write stuff on it and then we could put it up where you'll see it?",T,rmjBUBlFfU8_21
Like what?,P,rmjBUBlFfU8_22
"Well, how about wake up at 11 a.m. and have a shower, maybe pick up clothes?",T,rmjBUBlFfU8_23
"Okay, but I have nowhere to put the dirty ones.",P,rmjBUBlFfU8_24
"That's a good point. I can bring something next time, maybe.",T,rmjBUBlFfU8_25
I'll give it a try.,P,rmjBUBlFfU8_26
"That's great, Jules. Now what should we think about for next time?",T,rmjBUBlFfU8_27
I see you made your bed. That's great. It really makes a difference. How did waking up earlier go?,T,rGyA5IgmzuM_1
"Well, it worked for like a day or two, but then the power went out so then my alarm clock stopped working and then I kind of started sleeping in again.",P,rGyA5IgmzuM_2
"I thought that might happen, so I made this sign for you. It'll help you remember to set the alarm.",T,rGyA5IgmzuM_3
"Oh, um, I did get out to the park.",P,rGyA5IgmzuM_4
How did that go?,T,rGyA5IgmzuM_5
"It didn't go so well. I don't have enough clean clothes and I felt really uncomfortable. This thing is really hard, man. Like, why bother?",P,rGyA5IgmzuM_6
"Well, that's why I bought you these. We can put your dirty clothes in the hamper and your clean clothes we can fold them up and put them into this bin.",T,rGyA5IgmzuM_7
That's cool.,P,rGyA5IgmzuM_8
"Okay. Well, last time we talked about how you forget to take a shower. So I brought you this hygiene basket because I remembered you become overwhelmed. If you keep it here by the bed, it'll remind you to take a shower and you can carry it with you.",T,rGyA5IgmzuM_9
I think I could use a shower.,P,rGyA5IgmzuM_10
"Well why don't you go have one? I'll put the calendar up for you and I'll also put this picture I love up here by the bed. Oh, guess what? I got you a container so you can put all your meds in. If you fill it up for each day and keep it by your bed with a glass of water it'll remind you to take your pills.",T,rGyA5IgmzuM_11
I'm gonna go take that shower now.,P,rGyA5IgmzuM_12
Sounds good. I'll put up your calendar.,T,rGyA5IgmzuM_13
So I'd like to talk about being cognitively active. So you're retired now. What did you used to do?,T,jKIFMKsPMas_1
I was a nurse for 44 years.,P,jKIFMKsPMas_2
Okay. And presumably that kept you very busy?,T,jKIFMKsPMas_3
"It did, it did. It wasn't just that. I had five children and I helped my husband run a sub-post office. So I was working a 70-hour week in those days because I did two nights' night duty, they were 12-hour shifts separated, and then I worked in the shop.",P,jKIFMKsPMas_4
Several jobs.,T,jKIFMKsPMas_5
"So for five years I did that. So that was, you know, and looked after the children and the house and that. Yeah.",P,jKIFMKsPMas_6
"Wow. And do you do any, now that you're retired, do you do any voluntary work or anything else?",T,jKIFMKsPMas_7
"Yeah, I've got involved with things around the church, with visiting the housebound and taking them out and things like that. And I still, and one of my daughters decided to get me a job as a transport passenger assistant for special needs on the minibuses that go around Leeds. So they were desperate for them and she said, you'd be good at that, Mum.",P,jKIFMKsPMas_8
Signed you up?,T,jKIFMKsPMas_9
She signed me up because she was the manager. So I did that until I was 77. And I also did the 11 weeks of the stewarding for the ABRSM music exams.,P,jKIFMKsPMas_10
Would you say that keeping busy is important to you?,T,jKIFMKsPMas_11
"Well, I'm just a busy person. So it just comes natural to me. I can't sit really for long.",P,jKIFMKsPMas_12
Yeah. And have you always been like that?,T,jKIFMKsPMas_13
Yes. Yes.,P,jKIFMKsPMas_14
Do you have a lot of social support?,T,jKIFMKsPMas_15
"Yes, I do. Yeah. Well, even more so now, now that the children have press-ganged me into Facebook and WhatsApp. Wow. I mean, it's just full-on around the world now, you know.",P,jKIFMKsPMas_16
"Yeah, international friends.",T,jKIFMKsPMas_17
Yes. Yes.,P,jKIFMKsPMas_18
And I believe that you are an Airbnb host?,T,jKIFMKsPMas_19
"Yes, I do. So the world comes to me that way. And then I'm Facebook friends when they go home apparently in China and Brazil and Rome.",P,jKIFMKsPMas_20
Any invitations to visit?,T,jKIFMKsPMas_21
"Yes, Brazil. Yes.",P,jKIFMKsPMas_22
Wow. And you said you've got grandchildren and great-grandchildren.,T,jKIFMKsPMas_23
And great-grandchildren.,P,jKIFMKsPMas_24
Do you think that intergenerational contact is important?,T,jKIFMKsPMas_25
Very important.,P,jKIFMKsPMas_26
Why?,T,jKIFMKsPMas_27
"Because when you're busy bringing up children, you haven't time to see the world through their eyes or even really listen to them because you're too busy and preoccupied. But then grandchildren come along and more importantly now great-grandchildren, and seeing the world fresh through these new eyes is just, it's quite mind-blowing actually. So I've learned a lot. In the old days, grandchildren used to learn at their grandparents' knee, but nowadays it's the grandparents learning at the grandchildren's knees now, definitely. Oh, yes.",P,jKIFMKsPMas_28
"And do you think that it also benefits them to spend time with people of different generations, different ages?",T,jKIFMKsPMas_29
"Well, as I said, they don't see it as age, you see, which is very releasing because, well, it just is, you know, after my generation, the way I was brought up to be seen and not heard and to sit in the parlor with all these old people. And now, well, you're going round flipping parks, you know, the adventure things and they're saying, come on the slide with us and all this, you know, which I do.",P,jKIFMKsPMas_30
Good for you.,T,jKIFMKsPMas_31
Which I do. I don't turn anything down. That's the secret. Not turn anything down. Just say yes.,P,jKIFMKsPMas_32
Good philosophy.,T,jKIFMKsPMas_33
Except drugs. Try everything once. Try everything once.,P,jKIFMKsPMas_34
What's your view on nutrition and kind of having a so-called healthy diet?,T,jKIFMKsPMas_35
"I think the younger generation stress on it too much, far too much. When you think that if my generation are living to be 100 and we were brought up with dripping sandwiches, meat with marbling in, etc., etc., full cream milk, all the rest of it, why get stressed out? Just eat everything in moderation and enjoy life, for goodness sake.",P,jKIFMKsPMas_36
"I like that philosophy. How do you minimize the effects of stress? Do you have any techniques or if something stressful happens, is there anything particular that you do?",T,jKIFMKsPMas_37
"Gin and tonic or wine. I've got a very good thing, if I'm really cross with somebody and I'd really like to speak my mind to them, I'm very good at writing letters. I don't send the letter to them, but I do write it down and get it out of my system and I keep it in a drawer in case one day I might need to plonk it down in front of them.",P,jKIFMKsPMas_38
"But it's out of my head. And if I need to go to the doctor about anything, I will write down what I want to say to him because I don't believe they listen to you all the time, especially a woman if it's a man doctor. Well, you know, bitter, they think, oh God, it's her again, you know. So I think, put this down and smile at him and he's got to read it.",P,jKIFMKsPMas_39
"I think you're in your 70s now. Do you enjoy being in your 70s? What was your favorite period in life, if there's an answer to that?",T,jKIFMKsPMas_40
"No, there isn't. You should just enjoy every day as it comes and not get hung up about age because I'm surrounded by 90-year-olds now and honestly they're like 9-year-olds. We have the biggest laughs and they do the silliest things and you know, we feel as if we've been set free from your age, you know, you're a mother, set an example to the children.",P,jKIFMKsPMas_41
"Right. So do you think it makes a difference, kind of moving on from those responsibility kind of times of life, so when you are looking after your children, is that what you mean by you feel a sense of relief later?",T,jKIFMKsPMas_42
"Yes, because you're not, no one's judging you except that you're hanging around too long. But apart from that, no, it's good. I mean, I was brought up by a Victorian father who was a bank manager and it was always, just remember who I am in this town, you know, they were somebody in those days. You're my children. And then I went to a convent grammar, just remember who you are girls, you're convent grammar school girls. You know, so it didn't leave much to sin, did it? It didn't leave much to...",P,jKIFMKsPMas_43
Suppress.,T,jKIFMKsPMas_44
"Yeah. So, yeah, there's all these pressures as you're going through life. So it's nice to be... and my husband died in his 50s, so I had to reinvent myself, which was scary, very scary after being a wife and mother all those years. But my goodness me.",P,jKIFMKsPMas_45
I think it was either earlier this year or last year you did something quite big for a stranger.,T,jKIFMKsPMas_46
"Oh, the kidney donation, yes, in February. In February this year.",P,jKIFMKsPMas_47
In February this year? You donated a kidney to a stranger.,T,jKIFMKsPMas_48
"Yeah, a gentleman I believe, yeah.",P,jKIFMKsPMas_49
Wow. How did you decide to do that or find out about that and then decide to?,T,jKIFMKsPMas_50
"I found out on Facebook. Don't ask me what the heading was, but I'm already like most people donated after death, you know, everything. I mean, I'm leaving my body to Leeds Medical School as well, which hasn't pleased one of my daughters, but there you go. How can we grieve if you're still hanging around, she said. So, yeah, so some of them were for it and some of them weren't.",P,jKIFMKsPMas_51
And going through the transplant operation is quite a big thing to go through.,T,jKIFMKsPMas_52
"Well, I think all last year I was doing tests, you know, everything from psychological tests to all the physical tests and brain scans and everything scanned. It was better than a thousand mile service and I thought, well, I'm doing this for the right reasons, I know that. But who knows, they might find something totally wrong with me and that's the way I found out. So it's a win-win situation, I believe. And you know that if they do accept you, and I was the oldest one that they've ever had they said, and it'll last 20 years apparently, a kidney can last 20 years. That was good.",P,jKIFMKsPMas_53
So it's a win-win.,P,jKIFMKsPMas_54
I think I've asked most things on my list that I wanted to talk about. Is there anything that you think that I've missed that is worth covering in terms of the theme of living well for longer?,T,jKIFMKsPMas_55
"Well, I think if you can do something for somebody else for whatever reason, however tiny, the come back to yourself is just huge. But as long as you don't look for that come back, but it just is. And it also consolidates the reason why you're still alive, that you're not just taking up space on the planet and that, you know, you should do something. Like in January, hopefully tandem parachute jump for Alzheimer's.",P,jKIFMKsPMas_56
"Oh, is that the plan? To raise money for Alzheimer's? Tandem jump out of a plane.",T,jKIFMKsPMas_57
"That's the plan when I'm 80. Yeah, yeah. That should be good.",P,jKIFMKsPMas_58
Is there any advice that you would give to yourself aged 20 or any of our students?,T,jKIFMKsPMas_59
"Not to take life so seriously. For one, you don't know how long you're here for and two, nobody's that important, you know, you're not the center of the universe for goodness sake. So just get on with things and it's like, I feel sorry with Facebook, you know, if they don't get enough likes, it must ruin their day, some people. Well, this is all false, it's all smoke and mirrors. One thing a friend did say to me that was very important and I very proudly was saying that I now owned my own house, you see. And she just laughed and she said, do you think you really? I went, yes, you know. Oh, you're taking it with you are you? She said, you don't own anything, she said, it's smoke and mirrors, all of it. And it's true, isn't it? So just laugh and get on with it.",P,jKIFMKsPMas_60
Thank you.,T,jKIFMKsPMas_61
"Good afternoon. My name is Anas Ali, I'm one of the final year medical students. Before we start, can I check your name and age?",T,9om2tedf9oo_1
"Yeah, it's Zain Hassan and I'm 55 years old.",P,9om2tedf9oo_2
And how would you like me to address you today?,T,9om2tedf9oo_3
Zain's fine.,P,9om2tedf9oo_4
I've been asked by one of the doctors to have a conversation with you about what brought you into hospital. Anything we discuss remains confidential. Are you happy to go ahead?,T,9om2tedf9oo_5
"Yeah, absolutely.",P,9om2tedf9oo_6
Great. So tell me a bit about what's been going on.,T,9om2tedf9oo_7
"This morning, as I was leaving my house around 8:00 AM, I experienced some pretty bad chest pain. My wife called an ambulance and they brought me in.",P,9om2tedf9oo_8
I see. Would you say you've been quite worried about it or not so much?,T,9om2tedf9oo_9
"It was quite worrying, actually. I've never had anything like this happen before.",P,9om2tedf9oo_10
Is this the first time you've had pain like this? Can you tell me a bit more about it?,T,9om2tedf9oo_11
"It was in my chest. The episode lasted about 40 minutes, and the ambulance gave me some painkillers which helped quite a bit.",P,9om2tedf9oo_12
Where exactly was the pain? Can you point specifically?,T,9om2tedf9oo_13
"It was in the center of my chest, but it moved down my arm and up my neck.",P,9om2tedf9oo_14
"Did it move anywhere else, like to the back?",T,9om2tedf9oo_15
"No, I don't think so.",P,9om2tedf9oo_16
Can you describe the pain for me?,T,9om2tedf9oo_17
"It felt like a pressure, like someone was sitting on my chest.",P,9om2tedf9oo_18
Did the pain come on gradually or suddenly?,T,9om2tedf9oo_19
It came on quite suddenly just as I was leaving the house.,P,9om2tedf9oo_20
Did it last the whole 40 minutes or did it come and go?,T,9om2tedf9oo_21
It was there the whole 40 minutes.,P,9om2tedf9oo_22
"Did anything help apart from painkillers? Changing position, leaning, or taking deep breaths?",T,9om2tedf9oo_23
"No, nothing changed it.",P,9om2tedf9oo_24
Anything made it worse?,T,9om2tedf9oo_25
"No, it was just bad the whole time.",P,9om2tedf9oo_26
"On a scale of 0 to 10, how would you rate the pain?",T,9om2tedf9oo_27
"Quite high, an 8 or a 9.",P,9om2tedf9oo_28
And how is it at the moment? Do you have any thoughts on what could be going on?,T,9om2tedf9oo_29
I'm a bit worried that this is a heart attack.,P,9om2tedf9oo_30
Why are you worried about that specifically?,T,9om2tedf9oo_31
My dad had something similar happen when he was about 65. He had a major operation and was off work for ages.,P,9om2tedf9oo_32
That must have been tough. Did he recover well? Do you have other concerns or expectations?,T,9om2tedf9oo_33
He recovered reasonably well. My main concern is finding out what's happening and what the next steps are.,P,9om2tedf9oo_34
"We've ruled out a few things, but I have more questions. Any recent fever, weight loss, or nausea?",T,9om2tedf9oo_35
I was feeling a bit nauseous about 10 minutes into it.,P,9om2tedf9oo_36
Did you vomit or feel like your heart was racing?,T,9om2tedf9oo_37
"I didn't vomit, but my heart was racing the whole time during the pain.",P,9om2tedf9oo_38
"Any sweating, cough, calf swelling, or recent surgery?",T,9om2tedf9oo_39
"No, none of that.",P,9om2tedf9oo_40
Any breathlessness or heartburn?,T,9om2tedf9oo_41
"No breathlessness, but I do get reflux. This pain felt different though, like pressure instead of burning.",P,9om2tedf9oo_42
What do you take for heartburn? Did you try it for this?,T,9om2tedf9oo_43
"I take Gaviscon, but I didn't try it because it felt so different.",P,9om2tedf9oo_44
Any recent injuries? How is your general health? Do you have high blood pressure?,T,9om2tedf9oo_45
"Yes, I have high blood pressure. I take Ramipril, but my last readings were a bit high, about 160.",P,9om2tedf9oo_46
"Any high cholesterol, diabetes, or strokes?",T,9om2tedf9oo_47
I have high cholesterol and take a statin. No diabetes or stroke.,P,9om2tedf9oo_48
"Any other medications, over-the-counter herbs, or allergies?",T,9om2tedf9oo_49
"No, that's it. No allergies.",P,9om2tedf9oo_50
Any other conditions in your family?,T,9om2tedf9oo_51
"My mom has diabetes, but no other heart problems.",P,9om2tedf9oo_52
Are you working? How is that going?,T,9om2tedf9oo_53
I'm working and enjoying it. My colleagues have been very understanding about the situation.,P,9om2tedf9oo_54
Do you smoke or drink alcohol?,T,9om2tedf9oo_55
I've smoked half a pack a day for 25 years. I drink a few glasses of wine on weekends.,P,9om2tedf9oo_56
Any recreational drugs?,T,9om2tedf9oo_57
"No, none at all.",P,9om2tedf9oo_58
I'll talk to the doctors and then we'll do an examination. How does that sound?,T,9om2tedf9oo_59
That sounds okay. Thank you.,P,9om2tedf9oo_60
"Good, we'll proceed with the plan then.",T,9om2tedf9oo_61
Thank you.,P,9om2tedf9oo_62
"Welcome to this communication skills and ethics station for the MRCP PACES examination. I'm just going to read out the scenario for you. For this scenario, you get 14 minutes with the patient, a minute to collect your thoughts, and then five minutes with the examiner. The patient scenario for today: you've been called to the emergency department to see a patient who is 12 weeks pregnant and she's 20 years old herself. Two weeks ago she has had a long uninterrupted car journey and two days ago she has had an episode of shortness of breath which again happened today. She has been reading a pregnancy magazine and has been concerned about clots on her lungs. Her oxygen saturations are 91% but the rest of the examination and her chest x-ray are normal. Current guidelines suggest that if the clinical probability of a PE is high, you organize a Doppler ultrasound of the legs first, and once you exclude a DVT, you consider either a VQ scan or a CTPA to confirm or exclude the diagnosis of a PE. She's currently only on folic acid supplementation. Your task is to explain what can be done to establish the diagnosis and what treatment is appropriate.",T,okzklwP7zoo_1
Hello. Hi. My name is Dr. Puneker. Is that Dr. Agarwal?,T,okzklwP7zoo_2
"Yes, that's me. So this is Station 4, communication skills and ethics for the MRCP PACES examination. You have read the scenario outside. You get 14 minutes with the patient, a minute to collect your thoughts, and then five minutes with the examiner. I'm going to give you a warning when two minutes are left with the patient. Okay, would you like to proceed?",T,okzklwP7zoo_3
"Okay. Hi, is it Lauren?",T,okzklwP7zoo_4
"It is, yeah.",P,okzklwP7zoo_5
"Hi, my name's Sunil Agarwal, I'm one of the doctors that's just come down here just to have a chat with you to see what we can do to help you. What's your last name, sorry?",T,okzklwP7zoo_6
Bradley.,P,okzklwP7zoo_7
And is it okay if I call you Lauren? Can you just confirm your date of birth for me?,T,okzklwP7zoo_8
"Yeah, it's 15th of the 6th, '98.",P,okzklwP7zoo_9
"So that makes you 20 years old today? So this is the first time I've met you, so are you able to give me a bit of a talk to me about what's brought you in here and if you have any particular concerns or worries at all?",T,okzklwP7zoo_10
