rank	conv_id	ctrs_p	mean6_avg	therapist_turns	neg_rate	has_negative_care
44	0cGGCuFWMtw	1.1625	1.0541666666666667	40	0.0	False
45	XUuWWoQTlww	1.1596153846153847	1.0801282051282053	52	0.0	False
46	NiPQIhbrKFk	1.1575	1.0250000000000001	20	0.0	False
47	8mQZzlQXK1Q	1.1555555555555554	1.1296296296296298	9	0.0	False
48	FsYLmLoPPwk	1.1538461538461537	1.1410256410256412	13	0.0	False
49	3rSt4KIaN8I	1.13	1.04	50	0.0	False
50	67I6g1I7Zao	1.1296875	1.0729166666666667	16	0.0	False
51	oT2iPNcPejA	1.1239583333333334	1.0069444444444444	24	0.0	False
52	Zwsl7zsS7cw	1.1236842105263158	1.0350877192982457	19	0.0	False
53	DcAqhHb5-hk	1.1159090909090907	1.1818181818181819	11	0.0	False
54	pllei-yDO8c	1.1071428571428572	1.107142857142857	28	0.0	False
55	VGdWk7YRS1c	1.1070833333333334	1.0194444444444446	60	0.016666666666666666	True
56	8E7e7-LD7pw	1.105952380952381	1.0873015873015877	21	0.0	False
57	okzklwP7zoo	1.1042682926829268	1.056910569105691	41	0.0	False
58	DPOFpRQqInw	1.103225806451613	1.0376344086021505	31	0.0	False
59	vRBXYm3KuJU	1.0999999999999999	1.0416666666666667	16	0.0625	True
60	6Hcebt_wBVw	1.0963541666666665	1.048611111111111	48	0.020833333333333332	True
61	ciaoqPxyD_Q	1.0946666666666667	1.0355555555555556	75	0.0	False
62	S7RlcWtlzSI	1.070212765957447	1.0248226950354609	47	0.0	False
63	w8namZ5rt2k	1.0592105263157894	0.9736842105263158	19	0.0	False
64	Zldp0jcw6j4	1.0579545454545454	1.053030303030303	22	0.0	False
65	HKJXCj1xPH0	1.056	1.0466666666666666	25	0.0	False
66	G40ywooLnns	1.0555555555555554	1.1296296296296295	9	0.0	False
67	DJSTzTdXwWc	1.0551282051282052	0.9957264957264957	39	0.0	False
68	44mIo53rx3A	1.053409090909091	1.0833333333333335	22	0.0	False
69	jDyu_uTHVGw	1.052941176470588	1.019607843137255	17	0.0	False
70	zdha69z2VaA	1.048611111111111	1.0648148148148149	18	0.0	False
71	A-m_aIQfXZA	1.042	0.9866666666666667	25	0.04	True
72	Cg4BbnkBavQ	1.0408333333333333	1.0166666666666668	30	0.0	False
73	fVpPZUEg9s4	1.0386363636363636	0.9545454545454546	22	0.045454545454545456	True
74	-GaYArbWL1Q	1.0352941176470587	1.068627450980392	34	0.0	False
75	zdsaW_TSzHU	1.0288461538461537	0.9935897435897437	26	0.038461538461538464	True
76	T33j_ZETzUs	1.0176470588235293	1.0392156862745099	17	0.0	False
77	k_78UKFERGE	1.003082191780822	1.0205479452054793	73	0.0	False
78	8p7vNzCpu2Q	1.0026315789473683	0.9298245614035087	19	0.05263157894736842	True
79	wSrpYVszdms	0.9990384615384615	0.9935897435897434	26	0.0	False
80	ZgZENqjIiyo	0.9970588235294118	1.0588235294117647	17	0.0	False
81	X4OEhMWbSss	0.9941176470588236	0.9019607843137255	17	0.0	False
82	nblFvpbetoE	0.9916666666666667	1.0000000000000002	9	0.0	False
83	ANs9s7_u8SE	0.9890625	1.0729166666666665	16	0.0	False
84	jm6PG989Q_0	0.9804347826086957	0.9565217391304346	23	0.0	False
85	Xj2FB047sVc	0.9736842105263157	0.9166666666666665	38	0.0	False
86	_-WX9kQMXss	0.9666666666666667	0.9999999999999999	30	0.0	False
87	92jbfcpiA9Y	0.9528846153846153	0.9615384615384617	26	0.0	False
88	4AteX7MS03k	0.9521739130434782	0.9202898550724639	23	0.0	False
89	CdyJ0iB_k00	0.9507142857142858	0.961904761904762	35	0.0	False
90	gFVeSopv--w	0.930952380952381	1.0	21	0.0	False
91	5UU63mfNnD4	0.9295454545454546	0.9545454545454546	11	0.0	False
92	n17O4_Uy6Vk	0.928125	1.0208333333333335	16	0.0	False
93	nanU4vR993I	0.92109375	0.9557291666666667	64	0.0	False
94	U6VzVpsqG40	0.9194444444444444	0.9444444444444444	9	0.0	False
95	0XEKrRJeB5I	0.914705882352941	0.9068627450980392	34	0.0	False
96	sDrakgSYvzc	0.9100877192982455	0.9327485380116959	57	0.0	False
97	YJflzedS_DU	0.9000000000000001	0.9	5	0.0	False
98	_gAX6CCfckM	0.8990384615384616	0.8910256410256411	26	0.0	False
99	fSWXiFJybSg	0.8979166666666667	0.8333333333333335	12	0.0	False
100	Dl9SEZvKR4M	0.8975	0.8833333333333334	10	0.0	False
101	PjHy2v18TaQ	0.8957317073170731	0.8821138211382115	41	0.04878048780487805	True
102	SSJFJpk0osU	0.8918604651162791	0.9186046511627907	43	0.0	False
103	I7QiPXqL9pY	0.8865384615384615	0.9230769230769231	13	0.0	False
104	yqJkupJitaU	0.8834905660377359	0.940251572327044	53	0.03773584905660377	True
105	osROod3Hmpg	0.8734567901234569	0.8909465020576133	81	0.0	False
106	PtCj7ecyHjg	0.871195652173913	0.9275362318840582	46	0.0	False
107	RMvHw_RuPPk	0.8693181818181818	0.8787878787878788	22	0.0	False
108	_TwVa4utpII	0.8567567567567567	0.9414414414414413	37	0.0	False
109	W_tDRu67JnI	0.852840909090909	0.924242424242424	44	0.06818181818181818	True
110	gbBn8EzZx3w	0.851923076923077	0.814102564102564	26	0.0	False
111	xu0orOMQpCk	0.8516666666666667	0.9555555555555555	15	0.0	False
112	hjI-MRpv7PM	0.8488636363636364	0.8787878787878788	44	0.0	False
113	J7eKv_pW1bk	0.846875	0.9166666666666667	8	0.0	False
114	MtcWc8IzaWg	0.84625	0.9375	40	0.0	False
115	EO9F6b1R-ws	0.8456896551724138	0.8850574712643678	29	0.0	False
116	deXcodYegDA	0.8429487179487181	0.9188034188034191	39	0.0	False
117	JFrT8NOXeHk	0.8361111111111111	0.9351851851851853	18	0.0	False
118	rKTYOAI65zE	0.8285714285714285	0.8492063492063492	21	0.047619047619047616	True
119	x7HJmVx3qN4	0.81953125	0.8489583333333333	32	0.0	False
120	Yv9QS8KJnDE	0.8178571428571428	0.8095238095238096	28	0.0	False
121	0b9WEFYrdDk	0.8114583333333332	0.8125	24	0.041666666666666664	True
122	u7m6iCAf3hY	0.8113636363636364	0.9242424242424242	11	0.0	False
123	dREjjXvFybk	0.8107142857142857	0.9047619047619048	28	0.0	False
124	KuHLL2AE-SE	0.8022727272727272	0.9090909090909091	11	0.0	False
125	SD_flKS7koQ	0.796875	0.8194444444444443	24	0.0	False
126	liJPBeFbJ3Q	0.7908333333333334	0.8166666666666665	30	0.0	False
127	kuhImFdGW_w	0.7806603773584906	0.8710691823899372	53	0.018867924528301886	True
128	0Ak1EonaL7g	0.7805555555555556	0.8333333333333334	18	0.0	False
129	E9mZ3915tdU	0.78	0.9083333333333332	20	0.0	False
130	EbomaV3F8H0	0.7784090909090908	0.8863636363636362	22	0.0	False
131	21UTRCWbv20	0.775	0.784313725490196	17	0.0	False
132	OhHauJSOPMY	0.7717391304347826	0.9275362318840579	23	0.0	False
133	zA-fqvC02oM	0.742982456140351	0.8538011695906432	57	0.0	False
134	Gt1dCRfv_Lc	0.742361111111111	0.800925925925926	36	0.0	False
135	v21ZLg8n8do	0.7423076923076923	0.8782051282051283	52	0.0	False
136	KRDH89uP8wI	0.7298780487804878	0.8658536585365854	41	0.0	False
137	Ad1E-Wi-DzM	0.7040322580645162	0.8494623655913977	31	0.0	False
138	jmwQ3SE6Uew	0.6982142857142857	0.7619047619047619	14	0.0	False
139	fK70IxJ4nP0	0.6926470588235294	0.7745098039215687	34	0.0	False
140	S4wWClQhZaA	0.6861111111111111	0.8666666666666667	45	0.0	False
141	ExNs8o8A4fI	0.6857954545454545	0.7651515151515151	44	0.0	False
142	A1XJeciqyL8	0.6837662337662338	0.8376623376623377	77	0.0	False
143	8aDFvvjC6XM	0.6785714285714285	0.8095238095238094	28	0.0	False
144	yFcqj_ml8dc	0.6695945945945946	0.7612612612612611	37	0.0	False
145	dm-rJJPCuTE	0.6583333333333332	0.8148148148148148	18	0.0	False
146	7FLBpiEEedg	0.6563953488372093	0.7596899224806203	43	0.0	False
147	yYC4y7KuELY	0.645	0.8333333333333334	5	0.0	False
148	q58A-IM8iUs	0.6433823529411764	0.7647058823529411	34	0.0	False
149	824H2W-h5Kg	0.6420731707317073	0.7967479674796747	41	0.0	False
150	aTtmXde5T_Q	0.6414634146341464	0.7195121951219513	41	0.0	False
