ID,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness
SNstOn6owcI_64,1,1,1,1,1,2
SNstOn6owcI_66,1,1,1,1,0,2
SNstOn6owcI_69,-1,0,-2,1,0,2
SNstOn6owcI_71,-1,-1,-2,1,0,2
SNstOn6owcI_73,1,1,1,1,1,2
SNstOn6owcI_75,-1,0,-2,0,0,2
SNstOn6owcI_77,1,1,1,1,0,2
SNstOn6owcI_79,-1,-1,-2,0,0,1
SNstOn6owcI_81,-1,-1,-2,-1,-1,1
SNstOn6owcI_83,1,1,1,1,1,2
SNstOn6owcI_85,0,0,-2,0,0,2
SNstOn6owcI_87,1,1,1,1,0,2
SNstOn6owcI_89,-1,-1,-2,-1,-1,1
SNstOn6owcI_91,1,1,1,1,0,2
SNstOn6owcI_93,0,0,-2,1,0,2
SNstOn6owcI_95,-1,-1,-2,-1,-1,-1
SNstOn6owcI_97,-1,-1,-2,0,0,1
SNstOn6owcI_99,-1,-1,-2,-1,-1,1
SNstOn6owcI_101,1,1,1,1,0,2
SNstOn6owcI_103,1,1,1,1,0,2
SNstOn6owcI_105,1,0,1,1,0,2
SNstOn6owcI_107,1,0,0,1,0,2
SNstOn6owcI_109,-1,0,-2,1,0,2
SNstOn6owcI_111,1,1,-2,1,0,2
SNstOn6owcI_113,1,1,1,1,1,2
SNstOn6owcI_114,1,1,1,1,0,2
SNstOn6owcI_116,-1,-1,-2,-1,-1,1
SNstOn6owcI_117,0,0,-2,0,0,2
SNstOn6owcI_119,-1,-1,-2,-1,-1,-1
H8CJxNP0nv8_1,0,0,-2,0,0,2
H8CJxNP0nv8_3,0,0,-2,0,0,2
H8CJxNP0nv8_5,1,0,0,1,0,2
H8CJxNP0nv8_7,1,1,1,1,0,2
H8CJxNP0nv8_9,1,1,1,1,0,2
H8CJxNP0nv8_11,1,1,1,1,0,2
H8CJxNP0nv8_13,1,0,0,1,0,2
H8CJxNP0nv8_15,-1,-1,-2,0,0,1
H8CJxNP0nv8_17,1,1,1,1,0,2
H8CJxNP0nv8_19,1,1,1,1,1,2
H8CJxNP0nv8_21,0,0,-2,0,0,2
H8CJxNP0nv8_23,-1,0,-2,0,0,2
H8CJxNP0nv8_25,-1,-1,-2,0,0,1
H8CJxNP0nv8_27,1,0,1,1,0,2
H8CJxNP0nv8_29,1,1,1,1,0,2
H8CJxNP0nv8_31,1,0,1,1,0,2
H8CJxNP0nv8_33,0,0,-2,0,0,2
H8CJxNP0nv8_35,-1,-1,-2,0,0,2
H8CJxNP0nv8_37,-1,-1,-2,0,0,1
H8CJxNP0nv8_39,0,0,-2,0,0,2
H8CJxNP0nv8_41,1,1,1,1,1,2
H8CJxNP0nv8_43,1,0,1,1,0,2
H8CJxNP0nv8_45,1,0,0,1,0,2
H8CJxNP0nv8_47,1,1,1,1,0,2
H8CJxNP0nv8_49,1,1,1,1,0,2
H8CJxNP0nv8_51,0,0,0,1,0,2
H8CJxNP0nv8_53,1,0,0,1,0,2
H8CJxNP0nv8_55,1,1,1,1,0,2
H8CJxNP0nv8_57,-1,-1,-2,0,0,1
H8CJxNP0nv8_59,-1,-1,-2,0,0,1
H8CJxNP0nv8_61,1,1,1,1,1,2
H8CJxNP0nv8_63,-1,0,-2,0,0,2
H8CJxNP0nv8_65,0,0,0,1,0,2
H8CJxNP0nv8_67,0,0,-2,0,0,2
H8CJxNP0nv8_69,0,0,0,1,0,2
H8CJxNP0nv8_71,-1,-1,-2,0,0,1
H8CJxNP0nv8_73,1,0,1,1,0,2
H8CJxNP0nv8_75,-1,0,-2,0,0,1
H8CJxNP0nv8_77,1,1,1,1,0,2
H8CJxNP0nv8_79,-1,0,-2,0,0,1
cTIDnMLr0gk_1,-1,-1,-2,-1,-1,1
cTIDnMLr0gk_3,0,0,-2,0,0,2
cTIDnMLr0gk_5,1,1,1,1,1,2
cTIDnMLr0gk_7,-1,-1,-2,0,-1,1
cTIDnMLr0gk_9,1,0,-2,1,0,2
cTIDnMLr0gk_11,1,1,1,1,1,2
cTIDnMLr0gk_13,-1,-1,-2,-1,-1,-1
cTIDnMLr0gk_15,1,1,1,1,1,2
cTIDnMLr0gk_17,-1,-1,-2,-1,-1,1
cTIDnMLr0gk_18,-1,-1,-2,-1,-1,1
cTIDnMLr0gk_20,-1,0,-2,0,0,1
cTIDnMLr0gk_22,-1,-1,-2,0,0,1
cTIDnMLr0gk_24,-1,-1,-2,0,0,1
cTIDnMLr0gk_26,1,1,1,1,0,2
cTIDnMLr0gk_28,1,1,1,1,0,2
cTIDnMLr0gk_30,1,1,1,1,0,2
cTIDnMLr0gk_32,1,0,-2,1,0,2
cTIDnMLr0gk_34,1,1,1,1,0,2
cTIDnMLr0gk_36,-1,-1,-2,-1,-1,1
jKIFMKsPMas_1,0,0,-2,0,0,2
jKIFMKsPMas_3,1,1,1,1,1,2
jKIFMKsPMas_5,1,1,1,1,0,2
jKIFMKsPMas_7,1,1,1,1,0,2
jKIFMKsPMas_9,0,0,-2,0,0,2
jKIFMKsPMas_11,1,1,1,1,0,2
jKIFMKsPMas_13,1,1,1,1,1,2
jKIFMKsPMas_15,-1,-1,-2,0,0,1
jKIFMKsPMas_17,1,1,1,1,0,2
jKIFMKsPMas_19,1,0,1,1,0,2
jKIFMKsPMas_21,1,0,0,1,0,2
jKIFMKsPMas_23,-1,-1,-2,1,0,1
jKIFMKsPMas_25,1,1,-2,1,0,2
jKIFMKsPMas_27,1,0,0,1,0,2
jKIFMKsPMas_29,1,1,1,1,1,2
jKIFMKsPMas_31,1,1,0,1,0,2
jKIFMKsPMas_33,0,0,-2,0,0,2
jKIFMKsPMas_35,1,1,1,1,0,2
jKIFMKsPMas_37,-1,0,-2,0,0,2
jKIFMKsPMas_40,1,0,1,1,0,2
jKIFMKsPMas_42,2,1,-2,1,1,2
jKIFMKsPMas_44,-1,0,-2,-1,0,1
jKIFMKsPMas_46,1,1,1,1,1,2
jKIFMKsPMas_48,0,0,-2,0,0,2
jKIFMKsPMas_50,1,1,1,1,0,2
jKIFMKsPMas_52,-1,-1,-2,0,0,1
jKIFMKsPMas_55,1,0,1,1,0,2
jKIFMKsPMas_57,-1,-1,-2,-1,-1,1
jKIFMKsPMas_59,1,0,-2,0,0,2
jKIFMKsPMas_61,0,0,0,0,0,2
la5VCuaPi2w_1,1,1,1,1,0,2
la5VCuaPi2w_3,-1,-1,-2,-1,-1,1
la5VCuaPi2w_5,-1,0,-2,0,0,1
la5VCuaPi2w_7,1,0,0,1,0,2
la5VCuaPi2w_9,-1,-1,-2,0,0,1
la5VCuaPi2w_11,1,1,1,1,0,2
la5VCuaPi2w_13,1,1,1,1,0,2
la5VCuaPi2w_15,1,1,1,1,1,2
la5VCuaPi2w_17,1,1,1,1,0,2
la5VCuaPi2w_19,1,1,1,1,1,2
la5VCuaPi2w_21,1,1,1,1,1,2
la5VCuaPi2w_23,0,0,0,0,0,2
la5VCuaPi2w_25,1,1,1,1,1,2
la5VCuaPi2w_27,1,1,1,1,0,2
la5VCuaPi2w_29,1,1,1,1,1,2
la5VCuaPi2w_31,1,0,1,1,0,2
la5VCuaPi2w_33,1,1,1,1,1,2
la5VCuaPi2w_35,1,1,-2,1,1,2
la5VCuaPi2w_37,1,1,1,1,0,2
la5VCuaPi2w_39,-1,0,-2,0,0,1
la5VCuaPi2w_41,1,1,1,1,0,2
la5VCuaPi2w_43,0,0,-2,0,0,2
la5VCuaPi2w_45,1,1,1,1,0,2
la5VCuaPi2w_47,-1,-1,-2,-1,-1,1
la5VCuaPi2w_49,-1,-1,-2,0,0,1
la5VCuaPi2w_51,1,0,0,1,0,2
la5VCuaPi2w_53,-1,-1,-2,0,0,1
EtVJr05akR4_1,-1,0,-2,0,0,1
EtVJr05akR4_3,-1,-1,-2,-1,-1,1
EtVJr05akR4_5,1,1,1,1,1,2
EtVJr05akR4_7,1,1,1,1,1,2
EtVJr05akR4_9,1,1,1,1,1,2
EtVJr05akR4_11,1,0,-2,1,0,2
EtVJr05akR4_13,0,0,-2,0,0,2
EtVJr05akR4_15,-1,-1,-2,0,-1,1
EtVJr05akR4_17,-1,-1,-2,0,0,1
EtVJr05akR4_19,-1,-1,-2,0,0,1
EtVJr05akR4_21,1,1,1,1,0,2
EtVJr05akR4_23,1,1,-2,1,0,2
EtVJr05akR4_25,-1,0,-2,0,0,1
EtVJr05akR4_27,-1,-1,-2,0,0,1
EtVJr05akR4_29,1,1,1,1,1,2
EtVJr05akR4_31,1,1,1,1,0,2
EtVJr05akR4_33,1,1,1,1,0,2
EtVJr05akR4_35,1,1,0,1,0,2
EtVJr05akR4_37,1,1,1,1,1,2
EtVJr05akR4_39,1,1,1,1,1,2
EtVJr05akR4_41,1,1,1,1,1,2
EtVJr05akR4_43,-1,0,-2,0,0,2
EtVJr05akR4_45,1,1,1,1,1,2
EtVJr05akR4_47,1,1,1,1,0,2
EtVJr05akR4_49,1,1,1,2,1,2
EtVJr05akR4_51,1,1,1,1,0,2
EtVJr05akR4_53,1,1,1,1,0,2
EtVJr05akR4_55,1,1,1,1,0,2
EtVJr05akR4_57,1,0,-2,1,0,2
EtVJr05akR4_59,1,1,1,1,0,2
EtVJr05akR4_61,0,0,-2,0,0,2
Kusv2J0M19E_1,-1,-1,-2,0,0,1
Kusv2J0M19E_3,0,0,0,0,0,2
Kusv2J0M19E_5,1,1,1,1,0,2
Kusv2J0M19E_7,1,1,1,1,1,2
Kusv2J0M19E_9,1,1,1,1,0,2
Kusv2J0M19E_11,1,1,1,1,0,2
Kusv2J0M19E_13,0,0,-2,0,0,1
Kusv2J0M19E_15,1,0,0,1,0,2
Kusv2J0M19E_17,0,0,0,0,0,2
Kusv2J0M19E_19,1,1,1,1,1,2
UkjjYbFBctk_1,1,1,1,1,0,2
UkjjYbFBctk_3,1,1,1,1,0,2
UkjjYbFBctk_5,1,1,1,1,0,2
UkjjYbFBctk_7,1,0,0,1,0,2
UkjjYbFBctk_9,1,1,1,1,0,2
UkjjYbFBctk_11,1,0,0,1,0,2
UkjjYbFBctk_13,1,1,1,1,0,2
UkjjYbFBctk_15,1,0,1,1,0,2
UkjjYbFBctk_17,1,1,1,1,0,2
UkjjYbFBctk_19,1,1,1,1,0,2
UkjjYbFBctk_21,1,1,1,1,0,2
UkjjYbFBctk_23,1,1,-2,1,0,2
UkjjYbFBctk_25,1,1,1,1,0,2
UkjjYbFBctk_27,1,1,1,1,0,2
UkjjYbFBctk_29,1,0,1,1,0,2
UkjjYbFBctk_31,1,1,1,1,1,2
UkjjYbFBctk_33,1,0,0,1,0,2
UkjjYbFBctk_35,1,0,1,1,0,2
UkjjYbFBctk_37,1,0,1,1,0,2
UkjjYbFBctk_39,1,1,1,1,0,2
UkjjYbFBctk_41,-1,-1,-2,1,0,2
UkjjYbFBctk_43,-1,-1,-2,0,0,1
UkjjYbFBctk_45,-1,-1,-2,0,0,1
UkjjYbFBctk_47,1,1,1,1,1,2
UkjjYbFBctk_49,1,0,-2,1,0,2
UkjjYbFBctk_51,0,0,-2,0,0,2
UkjjYbFBctk_53,-1,0,-2,1,0,2
UkjjYbFBctk_55,1,1,1,1,0,2
UkjjYbFBctk_57,0,0,0,1,0,2
UkjjYbFBctk_59,1,1,1,1,1,2
UkjjYbFBctk_61,-1,-1,-2,0,0,1
UkjjYbFBctk_63,0,0,-2,0,0,2
UkjjYbFBctk_65,-1,-1,-2,-1,-1,1
UkjjYbFBctk_67,-1,-1,-2,-1,-1,1
uriVBFB1oOI_1,-1,0,-2,0,0,1
uriVBFB1oOI_3,1,1,1,1,0,2
uriVBFB1oOI_5,0,0,-2,0,0,2
uriVBFB1oOI_7,0,0,-2,0,0,2
uriVBFB1oOI_9,-1,-1,-2,-1,-1,1
uriVBFB1oOI_11,-1,-1,-2,-1,0,1
uriVBFB1oOI_13,1,0,1,1,0,2
9cYeZdKeXsc_2,-1,0,-2,0,0,2
9cYeZdKeXsc_4,1,1,1,1,0,2
9cYeZdKeXsc_6,1,1,1,1,0,2
9cYeZdKeXsc_7,0,0,-2,0,0,2
9cYeZdKeXsc_8,1,1,1,1,0,2
9cYeZdKeXsc_10,1,1,1,1,0,2
9cYeZdKeXsc_12,1,1,-2,1,1,2
9cYeZdKeXsc_14,0,0,0,1,0,2
9cYeZdKeXsc_16,1,1,1,1,0,2
9cYeZdKeXsc_18,-1,-1,-2,0,0,1
9cYeZdKeXsc_20,-1,-1,-2,-1,-1,1
9cYeZdKeXsc_22,-1,0,-2,0,0,1
cwmf4PSMqLE_1,0,0,-2,0,0,2
cwmf4PSMqLE_3,-1,-1,-2,0,0,1
cwmf4PSMqLE_5,1,1,1,1,0,2
cwmf4PSMqLE_7,1,1,0,1,0,2
cwmf4PSMqLE_9,1,1,1,1,0,2
cwmf4PSMqLE_11,1,1,1,1,0,2
