Video ID,Title,Duration,URL,Speakers,Segments,Input Tokens,Output Tokens,Cost (USD),Cost (INR),Status,Processed At
_-WX9kQMXss,Video 2. Modifying Automatic Thoughts: Dr. Wright and Kate. Wright/APA Publishing,00:08:53,https://www.youtube.com/watch?v=_-WX9kQMXss,2,57,13619,3293,$0.023498,₹2.23,success,2026-05-03T15:30:42.981991
ZNDBInn5neE,AFTER WINTER a family's account of life after Schizophrenia,00:15:02,https://www.youtube.com/watch?v=ZNDBInn5neE,2,30,22854,2838,$0.031368,₹2.98,success,2026-05-03T15:30:49.934161
yqJkupJitaU,Motivational Interviewing Role-Play - Doubts about Substance Use after DUI,00:16:10,https://www.youtube.com/watch?v=yqJkupJitaU,2,106,24550,4603,$0.038359,₹3.64,success,2026-05-03T15:30:57.094582
jDyu_uTHVGw,Video 5. Eliciting Automatic Thoughts: Dr. Sudak and Brian. Wright/APA Publishing,00:09:21,https://www.youtube.com/watch?v=jDyu_uTHVGw,2,34,14312,2216,$0.020960,₹1.99,success,2026-05-03T15:51:26.879383
_gAX6CCfckM,Video 6. Difficulty With Thought Recording: Dr. Brown and Eric. Wright/APA Publishing,00:06:44,https://www.youtube.com/watch?v=_gAX6CCfckM,2,51,10394,2537,$0.018005,₹1.71,success,2026-05-03T15:51:27.973207
ZD-QoQ0ivKc,Video 7. Using Imagery to Uncover Automatic Thoughts: Dr. Brown and Eric. Wright/APA Publishing,00:06:59,https://www.youtube.com/watch?v=ZD-QoQ0ivKc,2,42,10762,2224,$0.017434,₹1.66,success,2026-05-03T15:51:36.175681
FduIvOiyga0,Video 8. Examining the Evidence: Dr. Sudak and Brian. Wright/APA Publishing,00:12:12,https://www.youtube.com/watch?v=FduIvOiyga0,2,34,18594,1848,$0.024138,₹2.29,success,2026-05-03T15:51:44.786684
Dl9SEZvKR4M,Video 12. Behavioral Action Plan: Dr. Wichmann and Meredith. Wright/APA Publishing,00:03:49,https://www.youtube.com/watch?v=Dl9SEZvKR4M,2,19,6010,1293,$0.009889,₹0.94,success,2026-05-03T15:51:55.952033
ZgZENqjIiyo,Video 9. Developing Rational Alternatives: Dr. Sudak and Brian. Wright/APA Publishing,00:08:54,https://www.youtube.com/watch?v=ZgZENqjIiyo,2,33,13640,2483,$0.021089,₹2.00,success,2026-05-03T15:52:11.490843
fVpPZUEg9s4,Video 13. Activity Scheduling: Dr. Wichmann and Meredith. Wright/APA Publishing,00:09:46,https://www.youtube.com/watch?v=fVpPZUEg9s4,2,43,14946,3986,$0.026904,₹2.56,success,2026-05-03T15:52:19.065340
3374lbYdGqk,Video 14. Difficulty Completing an Activity Schedule: Dr. Chapman and Charles. Wright/APA Publishing,00:08:20,https://www.youtube.com/watch?v=3374lbYdGqk,2,27,12795,1714,$0.017937,₹1.70,success,2026-05-03T15:52:21.012365
I1F4hvfRC50,Video 10. Difficulty Finding Rational Alternatives: Dr. Brown and Eric. Wright/APA Publishing,00:10:46,https://www.youtube.com/watch?v=I1F4hvfRC50,2,67,16457,4015,$0.028502,₹2.71,success,2026-05-03T15:52:32.441540
VQD12PPjFrU,Video 15. Developing a Graded Task Assignment: Dr. Chapman and Charles. Wright/APA Publishing,00:07:55,https://www.youtube.com/watch?v=VQD12PPjFrU,2,26,12161,1383,$0.016310,₹1.55,success,2026-05-03T15:52:39.007945
o6JjYHUKSPs,Video 17. Exposure Therapy for Anxiety: Dr. Wright and Kate. Wright/APA Publishing,00:10:11,https://www.youtube.com/watch?v=o6JjYHUKSPs,0,0,15579,4561,$0.029262,₹2.78,success,2026-05-03T15:53:11.554792
cTIDnMLr0gk,Video 23. Safety Planning: Dr. Brown and David. Wright/APA Publishing,00:08:42,https://www.youtube.com/watch?v=cTIDnMLr0gk,2,36,13342,2316,$0.020290,₹1.93,success,2026-05-03T15:53:13.319615
deXcodYegDA,Video 19. In Vivo Exposure Therapy for OCD: Dr. Hembree and Mia. Wright/APA Publishing,00:08:40,https://www.youtube.com/watch?v=deXcodYegDA,2,68,13303,3242,$0.023029,₹2.19,success,2026-05-03T15:53:16.978117
9cYeZdKeXsc,CBT Role-Play – Complete Session – Depression and Alcohol Use – Part 1,00:05:47,https://www.youtube.com/watch?v=9cYeZdKeXsc,2,23,8985,1850,$0.014535,₹1.38,success,2026-05-03T17:46:17.510691
czzQ7fIQE84,Video 18. Imaginal Exposure for OCD: Dr. Hembree and Mia. Wright/APA Publishing,00:09:43,https://www.youtube.com/watch?v=czzQ7fIQE84,2,28,14870,2343,$0.021899,₹2.08,success,2026-05-03T15:53:24.490096
Bub8YLl1fUI,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 11,00:07:07,https://www.youtube.com/watch?v=Bub8YLl1fUI,2,27,10971,1753,$0.016230,₹1.54,success,2026-05-03T17:46:53.893392
C4kdF-3btbg,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 10,00:05:47,https://www.youtube.com/watch?v=C4kdF-3btbg,2,11,8979,894,$0.011661,₹1.11,success,2026-05-03T17:46:43.176313
Q_kYJ63RUAA,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 9,00:05:18,https://www.youtube.com/watch?v=Q_kYJ63RUAA,2,20,8253,1462,$0.012639,₹1.20,success,2026-05-03T17:46:49.381293
Ac0aZgha6Fk,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 8,00:05:35,https://www.youtube.com/watch?v=Ac0aZgha6Fk,2,35,8664,1777,$0.013995,₹1.33,success,2026-05-03T17:46:51.084431
jS1KE3_Pqlc,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 7,00:05:32,https://www.youtube.com/watch?v=jS1KE3_Pqlc,2,13,8596,1407,$0.012817,₹1.22,success,2026-05-03T17:47:11.957774
rRze7Na1MXg,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 12,00:07:07,https://www.youtube.com/watch?v=rRze7Na1MXg,2,14,10972,1722,$0.016138,₹1.53,success,2026-05-03T17:47:18.354326
KuHLL2AE-SE,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 6,00:06:33,https://www.youtube.com/watch?v=KuHLL2AE-SE,2,22,10115,1741,$0.015338,₹1.46,success,2026-05-03T17:47:24.508807
-tbKuW6k1cE,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 5,00:04:56,https://www.youtube.com/watch?v=-tbKuW6k1cE,2,13,7708,1134,$0.011110,₹1.06,success,2026-05-03T17:47:35.455092
U6VzVpsqG40,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 4,00:05:37,https://www.youtube.com/watch?v=U6VzVpsqG40,2,18,8729,1432,$0.013025,₹1.24,success,2026-05-03T17:47:30.954051
DcAqhHb5-hk,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 3,00:04:42,https://www.youtube.com/watch?v=DcAqhHb5-hk,2,22,7357,1327,$0.011338,₹1.08,success,2026-05-03T17:47:43.083398
rKTYOAI65zE,Conducting a Quick Screen for Trauma - Child Interview,00:11:42,https://www.youtube.com/watch?v=rKTYOAI65zE,2,39,17844,2202,$0.024450,₹2.32,success,2026-05-03T15:54:04.955940
G40ywooLnns,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 2,00:05:28,https://www.youtube.com/watch?v=G40ywooLnns,2,19,8498,1340,$0.012518,₹1.19,success,2026-05-03T17:47:57.820741
tq_yyMVax_c,CBT Role-Play – Complete Session – Low Self-Confidence at Work – Part 1,00:06:12,https://www.youtube.com/watch?v=tq_yyMVax_c,2,24,9600,1503,$0.014109,₹1.34,success,2026-05-03T17:48:26.476429
uriVBFB1oOI,Linehan DBT with Suicidal Clients Video,00:01:53,https://www.youtube.com/watch?v=uriVBFB1oOI,2,14,3122,909,$0.005849,₹0.56,success,2026-05-03T15:54:29.652502
x0Iky4NWN2U,Marsha Linehan DBT with Suicidal Clients Video,00:02:16,https://www.youtube.com/watch?v=x0Iky4NWN2U,2,18,3706,927,$0.006487,₹0.62,success,2026-05-03T15:54:35.408686
bxbSsK5D_PY,Conducting a Quick Screen for Trauma - Parent Interview,00:16:20,https://www.youtube.com/watch?v=bxbSsK5D_PY,2,73,24791,3826,$0.036269,₹3.45,success,2026-05-03T15:54:38.000224
vdMnsJJvqR4,CBT Role-Play - The Premack Principle with Weight Loss,00:10:19,https://www.youtube.com/watch?v=vdMnsJJvqR4,2,57,15775,2731,$0.023968,₹2.28,success,2026-05-03T15:55:08.656514
AOkVH-8zn5A,Demonstration of Beginning a Counselling Session,00:08:31,https://www.youtube.com/watch?v=AOkVH-8zn5A,2,54,13078,2217,$0.019729,₹1.87,success,2026-05-03T15:55:33.423006
JFrT8NOXeHk,Appraisal Role-Play - Communicating Assessment Results to a Client with Paranoia - SCL-90-R,00:12:02,https://www.youtube.com/watch?v=JFrT8NOXeHk,2,35,18351,1851,$0.023904,₹2.27,success,2026-05-03T15:56:01.579879
Dm5w8aCM5cw,Appraisal Role-Play - Communicating Assessment Results to a Client - SASSI,00:14:40,https://www.youtube.com/watch?v=Dm5w8aCM5cw,2,35,22309,1592,$0.027085,₹2.57,success,2026-05-03T15:56:05.728305
mfe8OzzArGc,Suicide Assessment Role-Play - Relationship Stressors,00:24:05,https://www.youtube.com/watch?v=mfe8OzzArGc,2,118,36428,6971,$0.057341,₹5.45,success,2026-05-03T15:56:31.053279
dJ1eDL15_Lw,Getting Started: Cognitive Behavioral Therapy in Action,00:12:26,https://www.youtube.com/watch?v=dJ1eDL15_Lw,2,66,18958,3984,$0.030910,₹2.94,success,2026-05-03T15:56:38.673959
8N1PzEFw0oE,Suicide Assessment Role-Play - Divorce Stressor,00:17:52,https://www.youtube.com/watch?v=8N1PzEFw0oE,3,85,27108,4878,$0.041742,₹3.97,success,2026-05-03T15:56:41.867005
Rz9U3hXZn1c,The Standardised Mini-Mental State Examination (SMMSE) - Performance Impairment,00:06:04,https://www.youtube.com/watch?v=Rz9U3hXZn1c,2,53,9397,1925,$0.015172,₹1.44,success,2026-05-03T15:56:54.950426
V9G2wt5vvdw,The Folstein Mini-Mental State Examination (MMSE) - Memory Loss,00:08:09,https://www.youtube.com/watch?v=V9G2wt5vvdw,2,55,12522,2175,$0.019047,₹1.81,success,2026-05-03T15:57:25.349904
w8Jo2xdxLXo,MRCP Paces Station 3 - Abdominal,00:10:00,https://www.youtube.com/watch?v=w8Jo2xdxLXo,2,29,15289,1486,$0.019747,₹1.88,success,2026-05-03T15:57:40.115560
8K4HW6_MvoU,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 2,00:10:22,https://www.youtube.com/watch?v=8K4HW6_MvoU,2,68,15847,4424,$0.029119,₹2.77,success,2026-05-03T17:48:32.096653
o2Cv6Mlp3KY,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 5,00:04:45,https://www.youtube.com/watch?v=o2Cv6Mlp3KY,2,23,7425,1479,$0.011862,₹1.13,success,2026-05-03T17:48:27.366561
TcewFGydzPM,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 6,00:07:38,https://www.youtube.com/watch?v=TcewFGydzPM,2,46,11743,2508,$0.019267,₹1.83,success,2026-05-03T17:48:28.434590
LuuKIF4-F_Q,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 4,00:06:30,https://www.youtube.com/watch?v=LuuKIF4-F_Q,2,27,10042,1770,$0.015352,₹1.46,success,2026-05-03T17:48:54.585118
jmwQ3SE6Uew,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 3,00:06:04,https://www.youtube.com/watch?v=jmwQ3SE6Uew,2,29,9389,1883,$0.015038,₹1.43,success,2026-05-03T17:49:42.636929
XbYGdo9lMsQ,CBT Role-Play - Challenging Relationship with Family Member,00:21:06,https://www.youtube.com/watch?v=XbYGdo9lMsQ,2,71,31954,4755,$0.046219,₹4.39,success,2026-05-03T15:58:08.895025
gbBn8EzZx3w,CBT Role-Play – Complete Session – Social Anxiety Disorder – Part 1,00:06:33,https://www.youtube.com/watch?v=gbBn8EzZx3w,2,53,10119,2548,$0.017763,₹1.69,success,2026-05-03T17:49:14.107043
vzhBWkQXaB8,Video Interview - Clinical Placements in non-traditional settings,00:04:47,https://www.youtube.com/watch?v=vzhBWkQXaB8,1,15,7462,1335,$0.011467,₹1.09,success,2026-05-03T15:58:32.896785
ZAOwjnqVUnM,ACT Therapy-Advanced Counseling,00:17:29,https://www.youtube.com/watch?v=ZAOwjnqVUnM,2,56,26518,3735,$0.037723,₹3.58,success,2026-05-03T17:49:52.138240
9i_qh-BAWTw,CGT Self-Harm in Teens - Motivational Interviewing Demonstration,00:08:01,https://www.youtube.com/watch?v=9i_qh-BAWTw,2,24,12321,1879,$0.017958,₹1.71,success,2026-05-03T17:07:42.202445
WdWtfuPD4As,Interpersonal Psychotherapy for Depression Video,00:02:02,https://www.youtube.com/watch?v=WdWtfuPD4As,2,7,3338,510,$0.004868,₹0.46,success,2026-05-03T15:59:16.281849
pllei-yDO8c,CBT Role-Play - Loss of Hope,00:27:40,https://www.youtube.com/watch?v=pllei-yDO8c,2,57,41804,3361,$0.051887,₹4.93,success,2026-05-03T15:59:20.712717
sErapRr-Na0,Counselling Skills- Diversity,00:18:52,https://www.youtube.com/watch?v=sErapRr-Na0,2,60,28587,4918,$0.043341,₹4.12,success,2026-05-03T15:59:39.024223
E9mZ3915tdU,Mock counselling session number 1- Mena Practical,00:09:35,https://www.youtube.com/watch?v=E9mZ3915tdU,2,40,14674,1868,$0.020278,₹1.93,success,2026-05-03T16:00:26.010742
qbamiDqWjjg,Difficult Conversation Theory,00:08:23,https://www.youtube.com/watch?v=qbamiDqWjjg,2,46,12861,2309,$0.019788,₹1.88,success,2026-05-03T16:00:26.685401
XUVQ5dGB1x0,Emotionally Focused Therapy,00:19:53,https://www.youtube.com/watch?v=XUVQ5dGB1x0,2,86,30135,4225,$0.042810,₹4.07,success,2026-05-03T16:00:52.395482
_gPcDRVALVo,Behavior Theory:  DBT Clinical Demonstration,00:20:09,https://www.youtube.com/watch?v=_gPcDRVALVo,2,64,30523,3215,$0.040168,₹3.82,success,2026-05-03T16:01:00.740755
uMeAjA2Edis,Simulation Scenario - Responding to a Client who Dissociates,00:03:35,https://www.youtube.com/watch?v=uMeAjA2Edis,2,17,5672,1256,$0.009440,₹0.90,success,2026-05-03T16:01:02.050660
PZi1Vl2p8xw,Simulation Scenario - Orientating a Client at the First Appointment,00:06:26,https://www.youtube.com/watch?v=PZi1Vl2p8xw,2,35,9949,1951,$0.015802,₹1.50,success,2026-05-03T16:01:09.704352
jm6PG989Q_0,Counseling Session #1,00:48:27,https://www.youtube.com/watch?v=jm6PG989Q_0,2,51,72975,2949,$0.081822,₹7.77,success,2026-05-03T16:01:25.725660
drTeoerWtKU,Counseling Diagnostic Assessment Vignette #38 - Symptoms of Hoarding Disorder,00:08:12,https://www.youtube.com/watch?v=drTeoerWtKU,2,43,12602,2536,$0.020210,₹1.92,success,2026-05-03T16:01:48.903738
wNF1FIKHKEU,Simulation Scenario - Adolescent Risk Assessement,00:11:51,https://www.youtube.com/watch?v=wNF1FIKHKEU,2,65,18085,2675,$0.026110,₹2.48,success,2026-05-03T16:02:06.002312
q4x4KHDiJAs,Counseling Diagnostic Assessment Vignette #39 - Symptoms of Illness Anxiety Disorder,00:09:40,https://www.youtube.com/watch?v=q4x4KHDiJAs,2,63,14802,3176,$0.024330,₹2.31,success,2026-05-03T16:02:07.799773
0Xkd2WNtvI4,Counseling Diagnostic Assessment Vignette #40 - Symptoms of REM Sleep Behavior Disorder,00:05:01,https://www.youtube.com/watch?v=0Xkd2WNtvI4,2,28,7819,1494,$0.012301,₹1.17,success,2026-05-03T16:02:19.464318
hjI-MRpv7PM,Counseling Diagnostic Assessment Vignette #37 - Symptoms of Cannabis Use Disorder,00:09:56,https://www.youtube.com/watch?v=hjI-MRpv7PM,2,88,15191,3775,$0.026516,₹2.52,success,2026-05-03T16:02:39.703421
la5VCuaPi2w,Counseling Diagnostic Assessment Vignette #35 - Symptoms of Schizoaffective Disorder,00:09:35,https://www.youtube.com/watch?v=la5VCuaPi2w,2,54,14680,3064,$0.023872,₹2.27,success,2026-05-03T16:03:05.691420
P624_q04ZWg,Counseling Diagnostic Assessment Vignette #36 - Symptoms of Cannabis Use Disorder,00:07:07,https://www.youtube.com/watch?v=P624_q04ZWg,2,46,10972,2626,$0.018850,₹1.79,success,2026-05-03T16:03:08.382038
-fLArKnlQkw,Counseling Diagnostic Assessment Vignette #32 - Symptoms of Alcohol Use Disorder,00:09:16,https://www.youtube.com/watch?v=-fLArKnlQkw,2,64,14207,3153,$0.023666,₹2.25,success,2026-05-03T16:03:30.349958
q58A-IM8iUs,Counseling Diagnostic Assessment Vignette #33 - Symptoms of Brief Psychotic Disorder,00:11:35,https://www.youtube.com/watch?v=q58A-IM8iUs,2,68,17681,4387,$0.030842,₹2.93,success,2026-05-03T16:03:35.304847
UxCT6zVPk7A,Counseling Diagnostic Assessment Vignette #34   Symptoms of Schizophrenia,00:10:16,https://www.youtube.com/watch?v=UxCT6zVPk7A,2,78,15704,4184,$0.028256,₹2.68,success,2026-05-03T16:03:36.380293
f6Y_P8Jv2cU,Counseling Diagnostic Assessment Vignette #29 - Symptoms of Alcohol Use Disorder,00:07:22,https://www.youtube.com/watch?v=f6Y_P8Jv2cU,2,51,11351,2399,$0.018548,₹1.76,success,2026-05-03T16:03:51.187334
km_ZGAVsr20,Counseling Diagnostic Assessment Vignette #31 - Symptoms of Alcohol Use Disorder,00:07:20,https://www.youtube.com/watch?v=km_ZGAVsr20,2,50,11289,2713,$0.019428,₹1.85,success,2026-05-03T16:04:00.949430
GHi-ut-gfgs,Counseling Diagnostic Assessment Vignette #26 - Symptoms of Posttraumatic Stress Disorder,00:09:41,https://www.youtube.com/watch?v=GHi-ut-gfgs,2,77,14833,3576,$0.025561,₹2.43,success,2026-05-03T16:08:03.828628
dbqFCbXxwb0,Counseling Diagnostic Assessment Vignette #28 - Symptoms of Acute Stress Disorder,00:07:11,https://www.youtube.com/watch?v=dbqFCbXxwb0,2,39,11062,1877,$0.016693,₹1.59,success,2026-05-03T16:04:12.680348
7FLBpiEEedg,Counseling Diagnostic Assessment Vignette #27 - Symptoms of Posttraumatic Stress Disorder,00:12:38,https://www.youtube.com/watch?v=7FLBpiEEedg,2,85,19241,3903,$0.030950,₹2.94,success,2026-05-03T16:04:30.086212
EbomaV3F8H0,Counseling Diagnostic Assessment Vignette #24 - Symptoms of Acute Stress Disorder,00:06:14,https://www.youtube.com/watch?v=EbomaV3F8H0,2,42,9647,2430,$0.016937,₹1.61,success,2026-05-03T16:04:46.943469
UAIr_NlZbak,Counseling Diagnostic Assessment Vignette #23 - Symptoms of Intermittent Explosive Disorder,00:06:04,https://www.youtube.com/watch?v=UAIr_NlZbak,2,48,9399,2584,$0.017151,₹1.63,success,2026-05-03T16:04:47.306764
Ad1E-Wi-DzM,Counseling Diagnostic Assessment Vignette #25 - Symptoms of Posttraumatic Stress Disorder,00:09:20,https://www.youtube.com/watch?v=Ad1E-Wi-DzM,2,62,14303,3080,$0.023543,₹2.24,success,2026-05-03T16:04:50.440531
Q5sYESOumQY,Counseling Diagnostic Assessment Vignette #22 - Symptoms of Intermittent Explosive Disorder,00:05:55,https://www.youtube.com/watch?v=Q5sYESOumQY,2,56,9176,2832,$0.017672,₹1.68,success,2026-05-03T16:05:06.682445
cgfs3h6Ahe8,Counseling Diagnostic Assessment Vignette #20 - Client with Symptoms of Bipolar Disorder,00:06:26,https://www.youtube.com/watch?v=cgfs3h6Ahe8,2,40,9951,2083,$0.016200,₹1.54,success,2026-05-03T16:07:52.332504
UkjjYbFBctk,Counseling Diagnostic Assessment Vignette #19 - Client with Symptoms of Bipolar Disorder,00:07:03,https://www.youtube.com/watch?v=UkjjYbFBctk,2,67,10869,3152,$0.020325,₹1.93,success,2026-05-03T16:07:55.326166
BYbCvD_8QYE,Counseling Diagnostic Assessment Vignette #21 - Client with Symptoms of Bipolar Disorder,00:07:50,https://www.youtube.com/watch?v=BYbCvD_8QYE,2,44,12050,2255,$0.018815,₹1.79,success,2026-05-03T16:08:03.456852
jkKm5Cym-ZY,Counseling Diagnostic Assessment Vignette #17 - Client with Symptoms of Depression,00:09:42,https://www.youtube.com/watch?v=jkKm5Cym-ZY,2,65,14845,2405,$0.022060,₹2.10,success,2026-05-03T16:08:05.266337
cVvMUM6fFWk,Counseling Diagnostic Assessment Vignette #15 - Client with Symptoms of Depression,00:07:58,https://www.youtube.com/watch?v=cVvMUM6fFWk,2,62,12260,2715,$0.020405,₹1.94,success,2026-05-03T17:49:25.793583
VllviqjGYpw,Counseling Diagnostic Assessment Vignette #18 - Client with Symptoms of Bipolar Disorder,00:05:51,https://www.youtube.com/watch?v=VllviqjGYpw,3,43,9069,1803,$0.014478,₹1.38,success,2026-05-03T16:08:45.227189
z60HLGvT7DQ,Counseling Diagnostic Assessment Vignette #14 - Client with Symptoms of Depression,00:06:25,https://www.youtube.com/watch?v=z60HLGvT7DQ,2,42,9920,2089,$0.016187,₹1.54,success,2026-05-03T16:08:56.423150
82YC8jm6x-Q,Counseling Diagnostic Assessment Vignette #13 - Client with Symptoms of Depression,00:08:16,https://www.youtube.com/watch?v=82YC8jm6x-Q,2,48,12691,2174,$0.019213,₹1.83,success,2026-05-03T16:08:58.416545
Gt1dCRfv_Lc,Counseling Diagnostic Assessment Vignette #16 - Client with Symptoms of Depression,00:11:59,https://www.youtube.com/watch?v=Gt1dCRfv_Lc,2,73,18272,3666,$0.029270,₹2.78,success,2026-05-03T16:08:59.800514
J2dpGjs5mjA,Counseling Diagnostic Assessment Vignette #12 - Client with Features of Generalized Anxiety Disorder,00:04:26,https://www.youtube.com/watch?v=J2dpGjs5mjA,2,58,6937,2407,$0.014158,₹1.35,success,2026-05-03T16:09:20.441789
4AteX7MS03k,Counseling Diagnostic Assessment Vignette #11 - Client with Features of Generalized Anxiety Disorder,00:06:59,https://www.youtube.com/watch?v=4AteX7MS03k,2,45,10777,2332,$0.017773,₹1.69,success,2026-05-03T16:09:41.114428
HIgQKH3Y1VE,Counseling Diagnostic Assessment Vignette #10 - Client with Features of Generalized Anxiety Disorder,00:06:26,https://www.youtube.com/watch?v=HIgQKH3Y1VE,3,66,9955,3097,$0.019246,₹1.83,success,2026-05-03T16:09:50.397115
aTtmXde5T_Q,Counseling Diagnostic Assessment Vignette #8 - Client with Features of ADHD,00:07:00,https://www.youtube.com/watch?v=aTtmXde5T_Q,2,81,10791,3091,$0.020064,₹1.91,success,2026-05-03T16:10:01.850036
zTvFhaDP0bM,Counseling Diagnostic Assessment Vignette #9 - Client with Features of ADHD,00:07:12,https://www.youtube.com/watch?v=zTvFhaDP0bM,2,80,11087,3336,$0.021095,₹2.00,success,2026-05-03T16:10:05.249140
0Dz9MYAyJGc,Counseling Diagnostic Assessment Vignette #7 - Client with Features of ADHD,00:05:44,https://www.youtube.com/watch?v=0Dz9MYAyJGc,2,31,8885,1282,$0.012731,₹1.21,success,2026-05-03T16:10:10.796155
OhHauJSOPMY,Counseling Diagnostic Assessment Vignette #6 - Client with Features of Obsessive-Compulsive Disorder,00:07:59,https://www.youtube.com/watch?v=OhHauJSOPMY,2,45,12282,2552,$0.019938,₹1.89,success,2026-05-03T16:10:36.360161
FYwSVpGOd3g,Counseling Diagnostic Assessment Vignette #5 - Client with Features of Obsessive-Compulsive Disorder,00:08:15,https://www.youtube.com/watch?v=FYwSVpGOd3g,2,63,12676,3229,$0.022363,₹2.12,success,2026-05-03T16:10:51.189687
HKJXCj1xPH0,Counseling Diagnostic Assessment Vignette #3 - Client with Features of Social Anxiety Disorder,00:10:47,https://www.youtube.com/watch?v=HKJXCj1xPH0,2,49,16466,2368,$0.023570,₹2.24,success,2026-05-03T16:11:02.162124
syM6XYzht20,Counseling Diagnostic Assessment Vignette #4 - Client with Features of Obsessive-Compulsive Disorder,00:07:16,https://www.youtube.com/watch?v=syM6XYzht20,2,55,11190,2427,$0.018471,₹1.75,success,2026-05-03T16:11:10.205056
