Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"Oh gosh, since I was like a teenager, so a long time.",P,DPOFpRQqInw_44,,,,,,
"So this has been a relatively persistent part of your life. Changing it's going to be work. So next time she is criticizing you in a meeting, if you filter that through a flexible belief system... how do you feel it now?",T,DPOFpRQqInw_45,1,0,0,2,1,2
"Yeah, it starts in my stomach and then goes all the way up.",P,DPOFpRQqInw_46,,,,,,
"So that'll be your first physiological reaction. But if you can pause that moment and apply more flexible thinking like 'I'd like respect, but I can function without it.' Are there other areas of life where you do get respect?",T,DPOFpRQqInw_47,1,0,1,1,0,2
"Yeah, from my friends and my family, it's actually mutual respect. I give them respect and they give me respect.",P,DPOFpRQqInw_48,,,,,,
"Alright, so that need is being met elsewhere. Maybe she never really intended to be disrespectful because criticism is part of those meetings. What do you think would happen if you ran that criticism through the flexible belief system next time?",T,DPOFpRQqInw_49,1,0,1,2,1,2
"Well, I think over time I wouldn't get that initial punch to the gut and I wouldn't have the urge to lash out at her, especially if it is constructive criticism, resulting in less tension in our office.",P,DPOFpRQqInw_50,,,,,,
Functioning in the office would improve and stress would be reduced. Is there a way to smooth things over with this coworker and explain you understand more about her criticisms?,T,DPOFpRQqInw_51,1,0,1,1,0,2
I think I'd be able to approach her and maybe ask her to get coffee and talk it over. Maybe I misunderstood her in the first meeting and she didn't mean to undermine me.,P,DPOFpRQqInw_52,,,,,,
"Having a discussion would be helpful. You can't control someone else's behavior, but it would give you an idea of her intentions and how to repair the relationship so it functions.",T,DPOFpRQqInw_53,1,1,1,1,0,2
"Yeah, because I certainly don't want upper management to get involved and there be a bigger issue.",P,DPOFpRQqInw_54,,,,,,
That would be a good application of coping skills and flexible thinking. Is that something you can try over the course of the next week?,T,DPOFpRQqInw_55,1,0,1,1,0,2
I will definitely try.,P,DPOFpRQqInw_56,,,,,,
"Our plan has two parts: smoothing things over with her, and moving from the rigid 'I deserve respect' to 'I would like respect but I'll function adequately without respect from everyone.' Does it all make sense to you?",T,DPOFpRQqInw_57,1,0,1,1,0,2
"Yeah, it's pretty clear, you explained it really well, so thank you.",P,DPOFpRQqInw_58,,,,,,
"Alright, so let's work on those two elements and check in next time you come in. Does that sound good?",T,DPOFpRQqInw_59,1,0,0,1,0,2
Sounds great. Thanks.,P,DPOFpRQqInw_60,,,,,,
Thanks Lisa.,T,DPOFpRQqInw_61,1,1,0,0,0,2
Thanks.,P,DPOFpRQqInw_62,,,,,,
